Airline,Date,Value,Status,Country,Region,IATA
Aeroflot,2001'Q1,1445.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2001'Q2,19336.0,public,US,North America,AA
Delta Air Lines,2001'Q2,15310.0,public,US,North America,DL
Southwest Airlines,2001'Q2,5602.0,public,US,North America,WN
United Airlines,2001'Q2,17745.0,public,US,North America,UA
Alaska Air,2001'Q2,2173.0,public,US,North America,AS
JetBlue,2001'Q2,213.0,public,US,North America,B6
SkyWest,2001'Q2,566.0,public,US,North America,OO
Northwest Airlines,2001'Q2,10573.0,merged with Delta 2008,US,North America,NW
Air Canada,2001'Q2,6160.0,public,CA,North America,AC
Air France-KLM,2001'Q2,10894.0,public,EU,Europe,AF/KL
Ryanair,2001'Q2,487.0,public,EU,Europe,FR
Finnair,2001'Q2,1359.0,public,EU,Europe,AY
Singapore Airlines,2001'Q2,5391.0,public,SG,Asia Pacific,SQ
Qantas Airways,2001'Q2,5596.0,public,AU,Asia Pacific,QF
Cathay Pacific,2001'Q2,4184.0,public,HK,Asia Pacific,CX
LATAM Airlines,2001'Q2,1442.0,public,CL,Latin America,LA
China Eastern,2001'Q2,1418.0,public,CN,China,MU
China Southern,2001'Q2,1936.0,public,CN,China,CZ
Hainan Airlines,2001'Q2,343.0,public,CN,China,HU
Aeroflot,2001'Q2,1482.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2001'Q3,19153.0,public,US,North America,AA
Delta Air Lines,2001'Q3,14595.0,public,US,North America,DL
Southwest Airlines,2001'Q3,5579.0,public,US,North America,WN
United Airlines,2001'Q3,16942.0,public,US,North America,UA
Alaska Air,2001'Q3,2163.0,public,US,North America,AS
JetBlue,2001'Q3,266.0,public,US,North America,B6
SkyWest,2001'Q3,584.0,public,US,North America,OO
Northwest Airlines,2001'Q3,10239.0,merged with Delta 2008,US,North America,NW
Air Canada,2001'Q3,6137.0,public,CA,North America,AC
Air France-KLM,2001'Q3,10915.0,public,EU,Europe,AF/KL
Ryanair,2001'Q3,516.0,public,EU,Europe,FR
Finnair,2001'Q3,1419.0,public,EU,Europe,AY
Singapore Airlines,2001'Q3,5255.0,public,SG,Asia Pacific,SQ
Qantas Airways,2001'Q3,5413.0,public,AU,Asia Pacific,QF
Cathay Pacific,2001'Q3,4044.0,public,HK,Asia Pacific,CX
LATAM Airlines,2001'Q3,1443.0,public,CL,Latin America,LA
China Eastern,2001'Q3,1443.0,public,CN,China,MU
China Southern,2001'Q3,1988.0,public,CN,China,CZ
Hainan Airlines,2001'Q3,371.0,public,CN,China,HU
Aeroflot,2001'Q3,1520.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2001'Q4,18969.0,public,US,North America,AA
Delta Air Lines,2001'Q4,13879.0,public,US,North America,DL
Southwest Airlines,2001'Q4,5555.0,public,US,North America,WN
United Airlines,2001'Q4,16138.0,public,US,North America,UA
Alaska Air,2001'Q4,2153.0,public,US,North America,AS
JetBlue,2001'Q4,320.0,public,US,North America,B6
SkyWest,2001'Q4,602.0,public,US,North America,OO
Northwest Airlines,2001'Q4,9905.0,merged with Delta 2008,US,North America,NW
Air Canada,2001'Q4,6113.0,public,CA,North America,AC
Air France-KLM,2001'Q4,10936.0,public,EU,Europe,AF/KL
Ryanair,2001'Q4,544.0,public,EU,Europe,FR
Finnair,2001'Q4,1479.0,public,EU,Europe,AY
Singapore Airlines,2001'Q4,5118.0,public,SG,Asia Pacific,SQ
Qantas Airways,2001'Q4,5229.0,public,AU,Asia Pacific,QF
Cathay Pacific,2001'Q4,3904.0,public,HK,Asia Pacific,CX
LATAM Airlines,2001'Q4,1443.0,public,CL,Latin America,LA
China Eastern,2001'Q4,1468.0,public,CN,China,MU
China Southern,2001'Q4,2039.0,public,CN,China,CZ
Hainan Airlines,2001'Q4,399.0,public,CN,China,HU
Aeroflot,2001'Q4,1558.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2002'Q1,18582.0,public,US,North America,AA
Delta Air Lines,2002'Q1,13876.0,public,US,North America,DL
Southwest Airlines,2002'Q1,5547.0,public,US,North America,WN
United Airlines,2002'Q1,16059.0,public,US,North America,UA
Alaska Air,2002'Q1,2171.0,public,US,North America,AS
JetBlue,2002'Q1,399.0,public,US,North America,B6
SkyWest,2002'Q1,645.0,public,US,North America,OO
Northwest Airlines,2002'Q1,9923.0,merged with Delta 2008,US,North America,NW
Air Canada,2002'Q1,6155.0,public,CA,North America,AC
Air France-KLM,2002'Q1,11658.0,public,EU,Europe,AF/KL
Ryanair,2002'Q1,638.0,public,EU,Europe,FR
Finnair,2002'Q1,1545.0,public,EU,Europe,AY
Singapore Airlines,2002'Q1,5327.0,public,SG,Asia Pacific,SQ
Qantas Airways,2002'Q1,5521.0,public,AU,Asia Pacific,QF
Cathay Pacific,2002'Q1,3989.0,public,HK,Asia Pacific,CX
LATAM Airlines,2002'Q1,1449.0,public,CL,Latin America,LA
China Eastern,2002'Q1,1503.0,public,CN,China,MU
China Southern,2002'Q1,2074.0,public,CN,China,CZ
Hainan Airlines,2002'Q1,445.0,public,CN,China,HU
Aeroflot,2002'Q1,1563.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2002'Q2,18195.0,public,US,North America,AA
Delta Air Lines,2002'Q2,13873.0,public,US,North America,DL
Southwest Airlines,2002'Q2,5538.0,public,US,North America,WN
United Airlines,2002'Q2,15980.0,public,US,North America,UA
Alaska Air,2002'Q2,2188.0,public,US,North America,AS
JetBlue,2002'Q2,478.0,public,US,North America,B6
SkyWest,2002'Q2,688.0,public,US,North America,OO
Northwest Airlines,2002'Q2,9941.0,merged with Delta 2008,US,North America,NW
Air Canada,2002'Q2,6198.0,public,CA,North America,AC
Air France-KLM,2002'Q2,12380.0,public,EU,Europe,AF/KL
Ryanair,2002'Q2,731.0,public,EU,Europe,FR
Finnair,2002'Q2,1611.0,public,EU,Europe,AY
Singapore Airlines,2002'Q2,5537.0,public,SG,Asia Pacific,SQ
Qantas Airways,2002'Q2,5812.0,public,AU,Asia Pacific,QF
Cathay Pacific,2002'Q2,4073.0,public,HK,Asia Pacific,CX
LATAM Airlines,2002'Q2,1455.0,public,CL,Latin America,LA
China Eastern,2002'Q2,1538.0,public,CN,China,MU
China Southern,2002'Q2,2108.0,public,CN,China,CZ
Hainan Airlines,2002'Q2,491.0,public,CN,China,HU
Aeroflot,2002'Q2,1567.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2002'Q3,17807.0,public,US,North America,AA
Delta Air Lines,2002'Q3,13869.0,public,US,North America,DL
Southwest Airlines,2002'Q3,5530.0,public,US,North America,WN
United Airlines,2002'Q3,15901.0,public,US,North America,UA
Alaska Air,2002'Q3,2206.0,public,US,North America,AS
JetBlue,2002'Q3,556.0,public,US,North America,B6
SkyWest,2002'Q3,731.0,public,US,North America,OO
Northwest Airlines,2002'Q3,9958.0,merged with Delta 2008,US,North America,NW
Air Canada,2002'Q3,6240.0,public,CA,North America,AC
Air France-KLM,2002'Q3,13102.0,public,EU,Europe,AF/KL
Ryanair,2002'Q3,825.0,public,EU,Europe,FR
Finnair,2002'Q3,1678.0,public,EU,Europe,AY
Singapore Airlines,2002'Q3,5746.0,public,SG,Asia Pacific,SQ
Qantas Airways,2002'Q3,6103.0,public,AU,Asia Pacific,QF
Cathay Pacific,2002'Q3,4158.0,public,HK,Asia Pacific,CX
LATAM Airlines,2002'Q3,1460.0,public,CL,Latin America,LA
China Eastern,2002'Q3,1573.0,public,CN,China,MU
China Southern,2002'Q3,2143.0,public,CN,China,CZ
Hainan Airlines,2002'Q3,537.0,public,CN,China,HU
Aeroflot,2002'Q3,1572.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2002'Q4,17420.0,public,US,North America,AA
Delta Air Lines,2002'Q4,13866.0,public,US,North America,DL
Southwest Airlines,2002'Q4,5522.0,public,US,North America,WN
United Airlines,2002'Q4,15822.0,public,US,North America,UA
Alaska Air,2002'Q4,2224.0,public,US,North America,AS
JetBlue,2002'Q4,635.0,public,US,North America,B6
SkyWest,2002'Q4,774.0,public,US,North America,OO
Northwest Airlines,2002'Q4,9976.0,merged with Delta 2008,US,North America,NW
Air Canada,2002'Q4,6282.0,public,CA,North America,AC
Air France-KLM,2002'Q4,13825.0,public,EU,Europe,AF/KL
Ryanair,2002'Q4,918.0,public,EU,Europe,FR
Finnair,2002'Q4,1744.0,public,EU,Europe,AY
