Airline,Date,Value,Status,Country,Region,IATA
SkyWest,2005'Q2,1560.0,public,US,North America,OO
Northwest Airlines,2005'Q2,11783.0,merged with Delta 2008,US,North America,NW
Air Canada,2005'Q2,7710.0,public,CA,North America,AC
Air France-KLM,2005'Q2,25646.0,public,EU,Europe,AF/KL
Ryanair,2005'Q2,1879.0,public,EU,Europe,FR
easyJet,2005'Q2,2166.0,public,EU,Europe,U2
Finnair,2005'Q2,2279.0,public,EU,Europe,AY
Singapore Airlines,2005'Q2,7763.0,public,SG,Asia Pacific,SQ
Qantas Airways,2005'Q2,8708.0,public,AU,Asia Pacific,QF
Cathay Pacific,2005'Q2,5796.0,public,HK,Asia Pacific,CX
LATAM Airlines,2005'Q2,2352.0,public,CL,Latin America,LA
Air China,2005'Q2,4434.0,public,CN,China,CA
China Eastern,2005'Q2,3010.0,public,CN,China,MU
China Southern,2005'Q2,3828.0,public,CN,China,CZ
Hainan Airlines,2005'Q2,1112.0,public,CN,China,HU
Aeroflot,2005'Q2,2387.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2005'Q3,20195.0,public,US,North America,AA
Delta Air Lines,2005'Q3,16169.0,public,US,North America,DL
Southwest Airlines,2005'Q3,7321.0,public,US,North America,WN
United Airlines,2005'Q3,17132.0,public,US,North America,UA
Alaska Air,2005'Q3,2912.0,public,US,North America,AS
JetBlue,2005'Q3,1592.0,public,US,North America,B6
SkyWest,2005'Q3,1762.0,public,US,North America,OO
Northwest Airlines,2005'Q3,12034.0,merged with Delta 2008,US,North America,NW
Air Canada,2005'Q3,7916.0,public,CA,North America,AC
Air France-KLM,2005'Q3,26131.0,public,EU,Europe,AF/KL
Ryanair,2005'Q3,1964.0,public,EU,Europe,FR
easyJet,2005'Q3,2268.0,public,EU,Europe,U2
Finnair,2005'Q3,2260.0,public,EU,Europe,AY
Singapore Airlines,2005'Q3,8004.0,public,SG,Asia Pacific,SQ
Qantas Airways,2005'Q3,9152.0,public,AU,Asia Pacific,QF
Cathay Pacific,2005'Q3,6182.0,public,HK,Asia Pacific,CX
LATAM Airlines,2005'Q3,2458.0,public,CL,Latin America,LA
Air China,2005'Q3,4598.0,public,CN,China,CA
China Eastern,2005'Q3,3221.0,public,CN,China,MU
China Southern,2005'Q3,4291.0,public,CN,China,CZ
Hainan Airlines,2005'Q3,1171.0,public,CN,China,HU
Aeroflot,2005'Q3,2495.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2005'Q4,20712.0,public,US,North America,AA
Delta Air Lines,2005'Q4,16480.0,public,US,North America,DL
Southwest Airlines,2005'Q4,7584.0,public,US,North America,WN
United Airlines,2005'Q4,17379.0,public,US,North America,UA
Alaska Air,2005'Q4,2975.0,public,US,North America,AS
JetBlue,2005'Q4,1701.0,public,US,North America,B6
SkyWest,2005'Q4,1964.0,public,US,North America,OO
Northwest Airlines,2005'Q4,12286.0,merged with Delta 2008,US,North America,NW
Air Canada,2005'Q4,8122.0,public,CA,North America,AC
Air France-KLM,2005'Q4,26617.0,public,EU,Europe,AF/KL
Ryanair,2005'Q4,2049.0,public,EU,Europe,FR
easyJet,2005'Q4,2369.0,public,EU,Europe,U2
Finnair,2005'Q4,2241.0,public,EU,Europe,AY
Singapore Airlines,2005'Q4,8245.0,public,SG,Asia Pacific,SQ
Qantas Airways,2005'Q4,9595.0,public,AU,Asia Pacific,QF
Cathay Pacific,2005'Q4,6567.0,public,HK,Asia Pacific,CX
LATAM Airlines,2005'Q4,2563.0,public,CL,Latin America,LA
Air China,2005'Q4,4763.0,public,CN,China,CA
China Eastern,2005'Q4,3431.0,public,CN,China,MU
China Southern,2005'Q4,4754.0,public,CN,China,CZ
Hainan Airlines,2005'Q4,1231.0,public,CN,China,HU
Aeroflot,2005'Q4,2602.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2006'Q1,21175.0,public,US,North America,AA
Delta Air Lines,2006'Q1,16743.0,public,US,North America,DL
Southwest Airlines,2006'Q1,7960.0,public,US,North America,WN
United Airlines,2006'Q1,17869.0,public,US,North America,UA
Alaska Air,2006'Q1,3065.0,public,US,North America,AS
JetBlue,2006'Q1,1867.0,public,US,North America,B6
SkyWest,2006'Q1,2252.0,public,US,North America,OO
Northwest Airlines,2006'Q1,12357.0,merged with Delta 2008,US,North America,NW
Air Canada,2006'Q1,8251.0,public,CA,North America,AC
Air France-KLM,2006'Q1,27662.0,public,EU,Europe,AF/KL
Ryanair,2006'Q1,2281.0,public,EU,Europe,FR
easyJet,2006'Q1,2534.0,public,EU,Europe,U2
Finnair,2006'Q1,2341.0,public,EU,Europe,AY
Singapore Airlines,2006'Q1,8572.0,public,SG,Asia Pacific,SQ
Qantas Airways,2006'Q1,9733.0,public,AU,Asia Pacific,QF
Cathay Pacific,2006'Q1,6890.0,public,HK,Asia Pacific,CX
LATAM Airlines,2006'Q1,2695.0,public,CL,Latin America,LA
Air China,2006'Q1,5065.0,public,CN,China,CA
China Eastern,2006'Q1,3786.0,public,CN,China,MU
China Southern,2006'Q1,5050.0,public,CN,China,CZ
Hainan Airlines,2006'Q1,1319.0,public,CN,China,HU
Aeroflot,2006'Q1,2703.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2006'Q2,21638.0,public,US,North America,AA
Delta Air Lines,2006'Q2,17006.0,public,US,North America,DL
Southwest Airlines,2006'Q2,8335.0,public,US,North America,WN
United Airlines,2006'Q2,18360.0,public,US,North America,UA
Alaska Air,2006'Q2,3155.0,public,US,North America,AS
JetBlue,2006'Q2,2033.0,public,US,North America,B6
SkyWest,2006'Q2,2539.0,public,US,North America,OO
Northwest Airlines,2006'Q2,12427.0,merged with Delta 2008,US,North America,NW
Air Canada,2006'Q2,8381.0,public,CA,North America,AC
Air France-KLM,2006'Q2,28708.0,public,EU,Europe,AF/KL
Ryanair,2006'Q2,2514.0,public,EU,Europe,FR
easyJet,2006'Q2,2698.0,public,EU,Europe,U2
Finnair,2006'Q2,2441.0,public,EU,Europe,AY
Singapore Airlines,2006'Q2,8899.0,public,SG,Asia Pacific,SQ
Qantas Airways,2006'Q2,9871.0,public,AU,Asia Pacific,QF
Cathay Pacific,2006'Q2,7212.0,public,HK,Asia Pacific,CX
LATAM Airlines,2006'Q2,2827.0,public,CL,Latin America,LA
Air China,2006'Q2,5367.0,public,CN,China,CA
China Eastern,2006'Q2,4141.0,public,CN,China,MU
China Southern,2006'Q2,5346.0,public,CN,China,CZ
Hainan Airlines,2006'Q2,1408.0,public,CN,China,HU
Aeroflot,2006'Q2,2805.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2006'Q3,22100.0,public,US,North America,AA
Delta Air Lines,2006'Q3,17269.0,public,US,North America,DL
Southwest Airlines,2006'Q3,8711.0,public,US,North America,WN
United Airlines,2006'Q3,18850.0,public,US,North America,UA
Alaska Air,2006'Q3,3245.0,public,US,North America,AS
JetBlue,2006'Q3,2198.0,public,US,North America,B6
SkyWest,2006'Q3,2827.0,public,US,North America,OO
Northwest Airlines,2006'Q3,12498.0,merged with Delta 2008,US,North America,NW
Air Canada,2006'Q3,8510.0,public,CA,North America,AC
Air France-KLM,2006'Q3,29754.0,public,EU,Europe,AF/KL
Ryanair,2006'Q3,2746.0,public,EU,Europe,FR
easyJet,2006'Q3,2863.0,public,EU,Europe,U2
Finnair,2006'Q3,2541.0,public,EU,Europe,AY
Singapore Airlines,2006'Q3,9226.0,public,SG,Asia Pacific,SQ
Qantas Airways,2006'Q3,10008.0,public,AU,Asia Pacific,QF
Cathay Pacific,2006'Q3,7535.0,public,HK,Asia Pacific,CX
LATAM Airlines,2006'Q3,2959.0,public,CL,Latin America,LA
Air China,2006'Q3,5669.0,public,CN,China,CA
China Eastern,2006'Q3,4496.0,public,CN,China,MU
China Southern,2006'Q3,5642.0,public,CN,China,CZ
Hainan Airlines,2006'Q3,1496.0,public,CN,China,HU
Aeroflot,2006'Q3,2907.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2006'Q4,22563.0,public,US,North America,AA
Delta Air Lines,2006'Q4,17532.0,public,US,North America,DL
Southwest Airlines,2006'Q4,9086.0,public,US,North America,WN
United Airlines,2006'Q4,19340.0,public,US,North America,UA
Alaska Air,2006'Q4,3334.0,public,US,North America,AS
JetBlue,2006'Q4,2364.0,public,US,North America,B6
SkyWest,2006'Q4,3115.0,public,US,North America,OO
Northwest Airlines,2006'Q4,12568.0,merged with Delta 2008,US,North America,NW
Air Canada,2006'Q4,8639.0,public,CA,North America,AC
Air France-KLM,2006'Q4,30799.0,public,EU,Europe,AF/KL
Ryanair,2006'Q4,2979.0,public,EU,Europe,FR
easyJet,2006'Q4,3027.0,public,EU,Europe,U2
Finnair,2006'Q4,2641.0,public,EU,Europe,AY
Singapore Airlines,2006'Q4,9553.0,public,SG,Asia Pacific,SQ
Qantas Airways,2006'Q4,10146.0,public,AU,Asia Pacific,QF
Cathay Pacific,2006'Q4,7858.0,public,HK,Asia Pacific,CX
LATAM Airlines,2006'Q4,3091.0,public,CL,Latin America,LA
Air China,2006'Q4,5971.0,public,CN,China,CA
China Eastern,2006'Q4,4850.0,public,CN,China,MU
China Southern,2006'Q4,5938.0,public,CN,China,CZ
Hainan Airlines,2006'Q4,1585.0,public,CN,China,HU
Aeroflot,2006'Q4,3008.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2007'Q1,22656.0,public,US,North America,AA
Delta Air Lines,2007'Q1,17938.0,public,US,North America,DL
Southwest Airlines,2007'Q1,9280.0,public,US,North America,WN
United Airlines,2007'Q1,19541.0,public,US,North America,UA
Alaska Air,2007'Q1,3377.0,public,US,North America,AS
JetBlue,2007'Q1,2484.0,public,US,North America,B6
SkyWest,2007'Q1,3180.0,public,US,North America,OO
Northwest Airlines,2007'Q1,12558.0,merged with Delta 2008,US,North America,NW
Air Canada,2007'Q1,9168.0,public,CA,North America,AC
Air France-KLM,2007'Q1,32800.0,public,EU,Europe,AF/KL
Ryanair,2007'Q1,3307.0,public,EU,Europe,FR
easyJet,2007'Q1,3183.0,public,EU,Europe,U2
Finnair,2007'Q1,2799.0,public,EU,Europe,AY
Singapore Airlines,2007'Q1,10059.0,public,SG,Asia Pacific,SQ
Qantas Airways,2007'Q1,10780.0,public,AU,Asia Pacific,QF
Cathay Pacific,2007'Q1,8324.0,public,HK,Asia Pacific,CX
LATAM Airlines,2007'Q1,3207.0,public,CL,Latin America,LA
Air China,2007'Q1,6229.0,public,CN,China,CA
China Eastern,2007'Q1,5113.0,public,CN,China,MU
China Southern,2007'Q1,6333.0,public,CN,China,CZ
Hainan Airlines,2007'Q1,1638.0,public,CN,China,HU
Aeroflot,2007'Q1,3212.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2007'Q2,22749.0,public,US,North America,AA
Delta Air Lines,2007'Q2,18343.0,public,US,North America,DL
Southwest Airlines,2007'Q2,9474.0,public,US,North America,WN
United Airlines,2007'Q2,19742.0,public,US,North America,UA
Alaska Air,2007'Q2,3420.0,public,US,North America,AS
JetBlue,2007'Q2,2604.0,public,US,North America,B6
SkyWest,2007'Q2,3244.0,public,US,North America,OO
Northwest Airlines,2007'Q2,12548.0,merged with Delta 2008,US,North America,NW
Air Canada,2007'Q2,9696.0,public,CA,North America,AC
Air France-KLM,2007'Q2,34801.0,public,EU,Europe,AF/KL
Ryanair,2007'Q2,3635.0,public,EU,Europe,FR
easyJet,2007'Q2,3339.0,public,EU,Europe,U2
Finnair,2007'Q2,2956.0,public,EU,Europe,AY
Singapore Airlines,2007'Q2,10564.0,public,SG,Asia Pacific,SQ
Qantas Airways,2007'Q2,11413.0,public,AU,Asia Pacific,QF
Cathay Pacific,2007'Q2,8790.0,public,HK,Asia Pacific,CX
LATAM Airlines,2007'Q2,3324.0,public,CL,Latin America,LA
Air China,2007'Q2,6487.0,public,CN,China,CA
China Eastern,2007'Q2,5376.0,public,CN,China,MU
China Southern,2007'Q2,6727.0,public,CN,China,CZ
Hainan Airlines,2007'Q2,1691.0,public,CN,China,HU
Aeroflot,2007'Q2,3415.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2007'Q3,22842.0,public,US,North America,AA
Delta Air Lines,2007'Q3,18749.0,public,US,North America,DL
Southwest Airlines,2007'Q3,9667.0,public,US,North America,WN
United Airlines,2007'Q3,19942.0,public,US,North America,UA
Alaska Air,2007'Q3,3463.0,public,US,North America,AS
JetBlue,2007'Q3,2723.0,public,US,North America,B6
SkyWest,2007'Q3,3309.0,public,US,North America,OO
Northwest Airlines,2007'Q3,12538.0,merged with Delta 2008,US,North America,NW
Air Canada,2007'Q3,10225.0,public,CA,North America,AC
Air France-KLM,2007'Q3,36802.0,public,EU,Europe,AF/KL
Ryanair,2007'Q3,3963.0,public,EU,Europe,FR
easyJet,2007'Q3,3495.0,public,EU,Europe,U2
Finnair,2007'Q3,3114.0,public,EU,Europe,AY
Singapore Airlines,2007'Q3,11070.0,public,SG,Asia Pacific,SQ
Qantas Airways,2007'Q3,12046.0,public,AU,Asia Pacific,QF
Cathay Pacific,2007'Q3,9256.0,public,HK,Asia Pacific,CX
LATAM Airlines,2007'Q3,3440.0,public,CL,Latin America,LA
Air China,2007'Q3,6745.0,public,CN,China,CA
China Eastern,2007'Q3,5638.0,public,CN,China,MU
China Southern,2007'Q3,7122.0,public,CN,China,CZ
Hainan Airlines,2007'Q3,1744.0,public,CN,China,HU
Aeroflot,2007'Q3,3618.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2007'Q4,22935.0,public,US,North America,AA
Delta Air Lines,2007'Q4,19154.0,public,US,North America,DL
Southwest Airlines,2007'Q4,9861.0,public,US,North America,WN
United Airlines,2007'Q4,20143.0,public,US,North America,UA
Alaska Air,2007'Q4,3506.0,public,US,North America,AS
JetBlue,2007'Q4,2843.0,public,US,North America,B6
SkyWest,2007'Q4,3374.0,public,US,North America,OO
Northwest Airlines,2007'Q4,12528.0,merged with Delta 2008,US,North America,NW
Air Canada,2007'Q4,10753.0,public,CA,North America,AC
Air France-KLM,2007'Q4,38803.0,public,EU,Europe,AF/KL
Ryanair,2007'Q4,4291.0,public,EU,Europe,FR
easyJet,2007'Q4,3651.0,public,EU,Europe,U2
Finnair,2007'Q4,3272.0,public,EU,Europe,AY
Singapore Airlines,2007'Q4,11575.0,public,SG,Asia Pacific,SQ
Qantas Airways,2007'Q4,12679.0,public,AU,Asia Pacific,QF
Cathay Pacific,2007'Q4,9722.0,public,HK,Asia Pacific,CX
LATAM Airlines,2007'Q4,3557.0,public,CL,Latin America,LA
Air China,2007'Q4,7003.0,public,CN,China,CA
China Eastern,2007'Q4,5901.0,public,CN,China,MU
China Southern,2007'Q4,7517.0,public,CN,China,CZ
Hainan Airlines,2007'Q4,1797.0,public,CN,China,HU
Aeroflot,2007'Q4,3821.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2008'Q1,23143.0,public,US,North America,AA
Delta Air Lines,2008'Q1,20040.0,public,US,North America,DL
Southwest Airlines,2008'Q1,10152.0,public,US,North America,WN
United Airlines,2008'Q1,20156.0,public,US,North America,UA
Alaska Air,2008'Q1,3545.0,public,US,North America,AS
JetBlue,2008'Q1,2980.0,public,US,North America,B6
SkyWest,2008'Q1,3405.0,public,US,North America,OO
Northwest Airlines,2008'Q1,12789.0,merged with Delta 2008,US,North America,NW
Air Canada,2008'Q1,10346.0,public,CA,North America,AC
Air France-KLM,2008'Q1,37141.0,public,EU,Europe,AF/KL
Ryanair,2008'Q1,4197.0,public,EU,Europe,FR
easyJet,2008'Q1,3801.0,public,EU,Europe,U2
Finnair,2008'Q1,3248.0,public,EU,Europe,AY
Singapore Airlines,2008'Q1,11313.0,public,SG,Asia Pacific,SQ
Qantas Airways,2008'Q1,13406.0,public,AU,Asia Pacific,QF
Cathay Pacific,2008'Q1,10084.0,public,HK,Asia Pacific,CX
LATAM Airlines,2008'Q1,3738.0,public,CL,Latin America,LA
Air China,2008'Q1,7204.0,public,CN,China,CA
China Eastern,2008'Q1,5943.0,public,CN,China,MU
China Southern,2008'Q1,7700.0,public,CN,China,CZ
Hainan Airlines,2008'Q1,1830.0,public,CN,China,HU
Aeroflot,2008'Q1,4024.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2008'Q2,23351.0,public,US,North America,AA
Delta Air Lines,2008'Q2,20926.0,public,US,North America,DL
Southwest Airlines,2008'Q2,10442.0,public,US,North America,WN
United Airlines,2008'Q2,20169.0,public,US,North America,UA
Alaska Air,2008'Q2,3584.0,public,US,North America,AS
JetBlue,2008'Q2,3118.0,public,US,North America,B6
SkyWest,2008'Q2,3435.0,public,US,North America,OO
Northwest Airlines,2008'Q2,13050.0,merged with Delta 2008,US,North America,NW
Air Canada,2008'Q2,9939.0,public,CA,North America,AC
Air France-KLM,2008'Q2,35479.0,public,EU,Europe,AF/KL
Ryanair,2008'Q2,4103.0,public,EU,Europe,FR
easyJet,2008'Q2,3952.0,public,EU,Europe,U2
Finnair,2008'Q2,3225.0,public,EU,Europe,AY
Singapore Airlines,2008'Q2,11052.0,public,SG,Asia Pacific,SQ
Qantas Airways,2008'Q2,14133.0,public,AU,Asia Pacific,QF
Cathay Pacific,2008'Q2,10446.0,public,HK,Asia Pacific,CX
LATAM Airlines,2008'Q2,3920.0,public,CL,Latin America,LA
Air China,2008'Q2,7405.0,public,CN,China,CA
China Eastern,2008'Q2,5985.0,public,CN,China,MU
China Southern,2008'Q2,7882.0,public,CN,China,CZ
Hainan Airlines,2008'Q2,1862.0,public,CN,China,HU
Aeroflot,2008'Q2,4228.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2008'Q3,23558.0,public,US,North America,AA
Delta Air Lines,2008'Q3,21811.0,public,US,North America,DL
Southwest Airlines,2008'Q3,10733.0,public,US,North America,WN
United Airlines,2008'Q3,20181.0,public,US,North America,UA
Alaska Air,2008'Q3,3623.0,public,US,North America,AS
JetBlue,2008'Q3,3255.0,public,US,North America,B6
SkyWest,2008'Q3,3466.0,public,US,North America,OO
Northwest Airlines,2008'Q3,13311.0,merged with Delta 2008,US,North America,NW
Air Canada,2008'Q3,9532.0,public,CA,North America,AC
Air France-KLM,2008'Q3,33817.0,public,EU,Europe,AF/KL
Ryanair,2008'Q3,4009.0,public,EU,Europe,FR
easyJet,2008'Q3,4102.0,public,EU,Europe,U2
Finnair,2008'Q3,3202.0,public,EU,Europe,AY
Singapore Airlines,2008'Q3,10790.0,public,SG,Asia Pacific,SQ
Qantas Airways,2008'Q3,14860.0,public,AU,Asia Pacific,QF
Cathay Pacific,2008'Q3,10807.0,public,HK,Asia Pacific,CX
LATAM Airlines,2008'Q3,4101.0,public,CL,Latin America,LA
Air China,2008'Q3,7606.0,public,CN,China,CA
China Eastern,2008'Q3,6027.0,public,CN,China,MU
China Southern,2008'Q3,8064.0,public,CN,China,CZ
Hainan Airlines,2008'Q3,1894.0,public,CN,China,HU
Aeroflot,2008'Q3,4431.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2008'Q4,23766.0,public,US,North America,AA
Delta Air Lines,2008'Q4,22697.0,public,US,North America,DL
Southwest Airlines,2008'Q4,11023.0,public,US,North America,WN
United Airlines,2008'Q4,20194.0,public,US,North America,UA
Alaska Air,2008'Q4,3663.0,public,US,North America,AS
JetBlue,2008'Q4,3392.0,public,US,North America,B6
SkyWest,2008'Q4,3496.0,public,US,North America,OO
Northwest Airlines,2008'Q4,13572.0,merged with Delta 2008,US,North America,NW
Air Canada,2008'Q4,9125.0,public,CA,North America,AC
Air France-KLM,2008'Q4,32155.0,public,EU,Europe,AF/KL
Ryanair,2008'Q4,3915.0,public,EU,Europe,FR
easyJet,2008'Q4,4253.0,public,EU,Europe,U2
Finnair,2008'Q4,3178.0,public,EU,Europe,AY
Singapore Airlines,2008'Q4,10528.0,public,SG,Asia Pacific,SQ
Qantas Airways,2008'Q4,15586.0,public,AU,Asia Pacific,QF
Cathay Pacific,2008'Q4,11169.0,public,HK,Asia Pacific,CX
LATAM Airlines,2008'Q4,4283.0,public,CL,Latin America,LA
Air China,2008'Q4,7807.0,public,CN,China,CA
China Eastern,2008'Q4,6069.0,public,CN,China,MU
China Southern,2008'Q4,8246.0,public,CN,China,CZ
Hainan Airlines,2008'Q4,1927.0,public,CN,China,HU
Aeroflot,2008'Q4,4635.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2009'Q1,22804.0,public,US,North America,AA
Delta Air Lines,2009'Q1,24039.0,public,US,North America,DL
Southwest Airlines,2009'Q1,10855.0,public,US,North America,WN
United Airlines,2009'Q1,19229.0,public,US,North America,UA
Alaska Air,2009'Q1,3597.0,public,US,North America,AS
JetBlue,2009'Q1,3367.0,public,US,North America,B6
SkyWest,2009'Q1,3276.0,public,US,North America,OO
Northwest Airlines,2009'Q1,10179.0,merged with Delta 2008,US,North America,NW
Air Canada,2009'Q1,9192.0,public,CA,North America,AC
Air France-KLM,2009'Q1,32963.0,public,EU,Europe,AF/KL
Ryanair,2009'Q1,3943.0,public,EU,Europe,FR
easyJet,2009'Q1,4264.0,public,EU,Europe,U2
Finnair,2009'Q1,3051.0,public,EU,Europe,AY
Singapore Airlines,2009'Q1,10161.0,public,SG,Asia Pacific,SQ
Qantas Airways,2009'Q1,14642.0,public,AU,Asia Pacific,QF
Cathay Pacific,2009'Q1,10570.0,public,HK,Asia Pacific,CX
LATAM Airlines,2009'Q1,4131.0,public,CL,Latin America,LA
Air China,2009'Q1,7836.0,public,CN,China,CA
China Eastern,2009'Q1,6164.0,public,CN,China,MU
China Southern,2009'Q1,8265.0,public,CN,China,CZ
Hainan Airlines,2009'Q1,1996.0,public,CN,China,HU
Aeroflot,2009'Q1,4315.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2009'Q2,21842.0,public,US,North America,AA
Delta Air Lines,2009'Q2,25380.0,public,US,North America,DL
Southwest Airlines,2009'Q2,10687.0,public,US,North America,WN
United Airlines,2009'Q2,18265.0,public,US,North America,UA
Alaska Air,2009'Q2,3531.0,public,US,North America,AS
JetBlue,2009'Q2,3342.0,public,US,North America,B6
SkyWest,2009'Q2,3055.0,public,US,North America,OO
Northwest Airlines,2009'Q2,6786.0,merged with Delta 2008,US,North America,NW
Air Canada,2009'Q2,9260.0,public,CA,North America,AC
Air France-KLM,2009'Q2,33771.0,public,EU,Europe,AF/KL
Ryanair,2009'Q2,3971.0,public,EU,Europe,FR
easyJet,2009'Q2,4275.0,public,EU,Europe,U2
Finnair,2009'Q2,2923.0,public,EU,Europe,AY
Singapore Airlines,2009'Q2,9793.0,public,SG,Asia Pacific,SQ
Qantas Airways,2009'Q2,13697.0,public,AU,Asia Pacific,QF
Cathay Pacific,2009'Q2,9972.0,public,HK,Asia Pacific,CX
LATAM Airlines,2009'Q2,3978.0,public,CL,Latin America,LA
Air China,2009'Q2,7866.0,public,CN,China,CA
China Eastern,2009'Q2,6260.0,public,CN,China,MU
China Southern,2009'Q2,8283.0,public,CN,China,CZ
Hainan Airlines,2009'Q2,2066.0,public,CN,China,HU
Aeroflot,2009'Q2,3995.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2009'Q3,20879.0,public,US,North America,AA
Delta Air Lines,2009'Q3,26722.0,public,US,North America,DL
Southwest Airlines,2009'Q3,10518.0,public,US,North America,WN
United Airlines,2009'Q3,17300.0,public,US,North America,UA
Alaska Air,2009'Q3,3466.0,public,US,North America,AS
JetBlue,2009'Q3,3317.0,public,US,North America,B6
SkyWest,2009'Q3,2834.0,public,US,North America,OO
Northwest Airlines,2009'Q3,3393.0,merged with Delta 2008,US,North America,NW
Air Canada,2009'Q3,9328.0,public,CA,North America,AC
Air France-KLM,2009'Q3,34579.0,public,EU,Europe,AF/KL
Ryanair,2009'Q3,4000.0,public,EU,Europe,FR
easyJet,2009'Q3,4286.0,public,EU,Europe,U2
Finnair,2009'Q3,2796.0,public,EU,Europe,AY
Singapore Airlines,2009'Q3,9426.0,public,SG,Asia Pacific,SQ
Qantas Airways,2009'Q3,12752.0,public,AU,Asia Pacific,QF
Cathay Pacific,2009'Q3,9374.0,public,HK,Asia Pacific,CX
LATAM Airlines,2009'Q3,3826.0,public,CL,Latin America,LA
Air China,2009'Q3,7896.0,public,CN,China,CA
China Eastern,2009'Q3,6356.0,public,CN,China,MU
China Southern,2009'Q3,8301.0,public,CN,China,CZ
Hainan Airlines,2009'Q3,2135.0,public,CN,China,HU
Aeroflot,2009'Q3,3675.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2009'Q4,19917.0,public,US,North America,AA
Delta Air Lines,2009'Q4,28063.0,public,US,North America,DL
Southwest Airlines,2009'Q4,10350.0,public,US,North America,WN
United Airlines,2009'Q4,16335.0,public,US,North America,UA
Alaska Air,2009'Q4,3400.0,public,US,North America,AS
JetBlue,2009'Q4,3292.0,public,US,North America,B6
SkyWest,2009'Q4,2614.0,public,US,North America,OO
Air Canada,2009'Q4,9396.0,public,CA,North America,AC
Air France-KLM,2009'Q4,35387.0,public,EU,Europe,AF/KL
Ryanair,2009'Q4,4028.0,public,EU,Europe,FR
easyJet,2009'Q4,4297.0,public,EU,Europe,U2
Finnair,2009'Q4,2669.0,public,EU,Europe,AY
Singapore Airlines,2009'Q4,9059.0,public,SG,Asia Pacific,SQ
Qantas Airways,2009'Q4,11807.0,public,AU,Asia Pacific,QF
Cathay Pacific,2009'Q4,8775.0,public,HK,Asia Pacific,CX
LATAM Airlines,2009'Q4,3674.0,public,CL,Latin America,LA
Air China,2009'Q4,7925.0,public,CN,China,CA
China Eastern,2009'Q4,6452.0,public,CN,China,MU
China Southern,2009'Q4,8319.0,public,CN,China,CZ
Hainan Airlines,2009'Q4,2204.0,public,CN,China,HU
Aeroflot,2009'Q4,3355.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2010'Q1,20480.0,public,US,North America,AA
Delta Air Lines,2010'Q1,28986.0,public,US,North America,DL
Southwest Airlines,2010'Q1,10789.0,public,US,North America,WN
United Airlines,2010'Q1,18083.0,public,US,North America,UA
Alaska Air,2010'Q1,3508.0,public,US,North America,AS
JetBlue,2010'Q1,3414.0,public,US,North America,B6
SkyWest,2010'Q1,2651.0,public,US,North America,OO
Air Canada,2010'Q1,9741.0,public,CA,North America,AC
Air France-KLM,2010'Q1,32722.0,public,EU,Europe,AF/KL
Ryanair,2010'Q1,4310.0,public,EU,Europe,FR
easyJet,2010'Q1,4406.0,public,EU,Europe,U2
Finnair,2010'Q1,2683.0,public,EU,Europe,AY
Singapore Airlines,2010'Q1,9672.0,public,SG,Asia Pacific,SQ
Qantas Airways,2010'Q1,11790.0,public,AU,Asia Pacific,QF
Cathay Pacific,2010'Q1,9555.0,public,HK,Asia Pacific,CX
LATAM Airlines,2010'Q1,3887.0,public,CL,Latin America,LA
Air China,2010'Q1,9126.0,public,CN,China,CA
China Eastern,2010'Q1,7681.0,public,CN,China,MU
China Southern,2010'Q1,9186.0,public,CN,China,CZ
Hainan Airlines,2010'Q1,2449.0,public,CN,China,HU
Aeroflot,2010'Q1,3614.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2010'Q2,21044.0,public,US,North America,AA
Delta Air Lines,2010'Q2,29909.0,public,US,North America,DL
Southwest Airlines,2010'Q2,11227.0,public,US,North America,WN
United Airlines,2010'Q2,19830.0,public,US,North America,UA
Alaska Air,2010'Q2,3616.0,public,US,North America,AS
JetBlue,2010'Q2,3536.0,public,US,North America,B6
SkyWest,2010'Q2,2689.0,public,US,North America,OO
Air Canada,2010'Q2,10086.0,public,CA,North America,AC
Air France-KLM,2010'Q2,30057.0,public,EU,Europe,AF/KL
Ryanair,2010'Q2,4592.0,public,EU,Europe,FR
easyJet,2010'Q2,4514.0,public,EU,Europe,U2
Finnair,2010'Q2,2696.0,public,EU,Europe,AY
Singapore Airlines,2010'Q2,10285.0,public,SG,Asia Pacific,SQ
