Airline,Date,Value,Status,Country,Region,IATA,Revenue,EBITDA
WestJet Airlines,2006'Q3,1431.0,public,CA,North America,WS,29.0,22.0
Exchange Income Corporation,2006'Q3,67.0,public,CA,North America,,49.0,14.0
IAG,2006'Q3,15575.0,public,EU,Europe,IAG,3.0,16.0
Air France-KLM,2006'Q3,28175.0,public,EU,Europe,AF/KL,12.0,13.0
Ryanair,2006'Q3,2746.0,public,EU,Europe,FR,39.0,28.0
easyJet,2006'Q3,2863.0,public,EU,Europe,U2,26.0,8.0
Deutsche Lufthansa,2006'Q3,24350.0,public,EU,Europe,LH,9.0,13.0
Norwegian Air Shuttle,2006'Q3,425.0,public,EU,Europe,DY,57.0,1.0
Finnair,2006'Q3,2541.0,public,EU,Europe,AY,13.0,6.0
Singapore Airlines,2006'Q3,9226.0,public,SG,Asia Pacific,SQ,15.0,19.0
Qantas Airways,2006'Q3,10008.0,public,AU,Asia Pacific,QF,10.0,15.0
Japan Airlines,2006'Q3,19358.0,public,JP,Asia Pacific,JL,2.0,5.0
ANA Holdings,2006'Q3,12411.0,public,JP,Asia Pacific,NH,6.0,12.0
Korean Air,2006'Q3,8633.0,public,KR,Asia Pacific,KE,14.0,7.0
Asiana Airlines,2006'Q3,3720.0,public,KR,Asia Pacific,OZ,21.0,4.0
Cathay Pacific,2006'Q3,7535.0,public,HK,Asia Pacific,CX,22.0,16.0
Copa Holdings,2006'Q3,791.0,public,PA,Latin America,CM,42.0,17.0
Gol Linhas Aereas,2006'Q3,1654.0,public,BR,Latin America,G3,66.0,20.0
LATAM Airlines,2006'Q3,2959.0,public,CL,Latin America,LA,20.0,11.0
Air China,2006'Q3,5669.0,public,CN,China,CA,23.0,21.0
China Eastern,2006'Q3,4496.0,public,CN,China,MU,39.0,9.0
China Southern,2006'Q3,5642.0,public,CN,China,CZ,35.0,11.0
Hainan Airlines,2006'Q3,1496.0,public,CN,China,HU,28.0,10.0
SpiceJet,2006'Q3,15.0,public,IN,India,SG,100.0,-9.0
Kenya Airlines,2006'Q3,827.0,public,KE,Africa,KQ,19.0,17.0
Comair,2006'Q3,272.0,public,ZA,Africa,MN,8.0,8.0
Emirates,2006'Q3,7998.0,private,AE,Middle East,EK,28.0,16.0
Aeroflot,2006'Q3,2907.0,"taken private 2023, war",RU,Russia,SU,17.0,16.0
Air Arabia,2006'Q3,187.0,public,AE,Middle East,G9,97.0,12.0
Jazeera Airways,2006'Q3,60.0,public,KW,Middle East,J9,100.0,13.0
American Airlines,2006'Q4,22563.0,public,US,North America,AA,9.0,10.0
Delta Air Lines,2006'Q4,17532.0,public,US,North America,DL,6.0,8.0
Southwest Airlines,2006'Q4,9086.0,public,US,North America,WN,20.0,16.0
United Airlines,2006'Q4,19340.0,public,US,North America,UA,11.0,7.0
Alaska Air,2006'Q4,3334.0,public,US,North America,AS,12.0,3.0
JetBlue,2006'Q4,2364.0,public,US,North America,B6,39.0,12.0
Allegiant,2006'Q4,243.0,public,US,North America,G4,84.0,14.0
Hawaiian,2006'Q4,888.0,public,US,North America,HA,75.0,4.0
SkyWest,2006'Q4,3115.0,public,US,North America,OO,59.0,17.0
Northwest Airlines,2006'Q4,12568.0,merged with Delta 2008,US,North America,NW,2.0,10.0
Air Canada,2006'Q4,8639.0,public,CA,North America,AC,6.0,8.0
WestJet Airlines,2006'Q4,1511.0,public,CA,North America,WS,27.0,21.0
Exchange Income Corporation,2006'Q4,73.0,public,CA,North America,,49.0,14.0
IAG,2006'Q4,15600.0,public,EU,Europe,IAG,1.0,16.0
Air France-KLM,2006'Q4,28700.0,public,EU,Europe,AF/KL,8.0,14.0
Ryanair,2006'Q4,2979.0,public,EU,Europe,FR,45.0,28.0
easyJet,2006'Q4,3027.0,public,EU,Europe,U2,28.0,8.0
Deutsche Lufthansa,2006'Q4,25000.0,public,EU,Europe,LH,12.0,13.0
Norwegian Air Shuttle,2006'Q4,470.0,public,EU,Europe,DY,61.0,1.0
Finnair,2006'Q4,2641.0,public,EU,Europe,AY,18.0,5.0
Singapore Airlines,2006'Q4,9553.0,public,SG,Asia Pacific,SQ,16.0,19.0
Qantas Airways,2006'Q4,10146.0,public,AU,Asia Pacific,QF,6.0,14.0
Japan Airlines,2006'Q4,19566.0,public,JP,Asia Pacific,JL,4.0,6.0
ANA Holdings,2006'Q4,12662.0,public,JP,Asia Pacific,NH,9.0,12.0
Korean Air,2006'Q4,8936.0,public,KR,Asia Pacific,KE,16.0,7.0
Asiana Airlines,2006'Q4,3922.0,public,KR,Asia Pacific,OZ,26.0,4.0
Cathay Pacific,2006'Q4,7858.0,public,HK,Asia Pacific,CX,20.0,16.0
Copa Holdings,2006'Q4,851.0,public,PA,Latin America,CM,40.0,22.0
Gol Linhas Aereas,2006'Q4,1825.0,public,BR,Latin America,G3,60.0,20.0
LATAM Airlines,2006'Q4,3091.0,public,CL,Latin America,LA,21.0,12.0
Air China,2006'Q4,5971.0,public,CN,China,CA,25.0,21.0
China Eastern,2006'Q4,4850.0,public,CN,China,MU,41.0,7.0
China Southern,2006'Q4,5938.0,public,CN,China,CZ,25.0,12.0
Hainan Airlines,2006'Q4,1585.0,public,CN,China,HU,29.0,8.0
SpiceJet,2006'Q4,17.0,public,IN,India,SG,75.0,-9.0
Kenya Airlines,2006'Q4,856.0,public,KE,Africa,KQ,16.0,19.0
Comair,2006'Q4,277.0,public,ZA,Africa,MN,8.0,11.0
Emirates,2006'Q4,8467.0,private,AE,Middle East,EK,28.0,13.0
Aeroflot,2006'Q4,3008.0,"taken private 2023, war",RU,Russia,SU,16.0,17.0
Air Arabia,2006'Q4,212.0,public,AE,Middle East,G9,87.0,14.0
Jazeera Airways,2006'Q4,78.0,public,KW,Middle East,J9,100.0,32.0
American Airlines,2007'Q1,22656.0,public,US,North America,AA,7.0,10.0
Delta Air Lines,2007'Q1,17938.0,public,US,North America,DL,7.0,9.0
Southwest Airlines,2007'Q1,9280.0,public,US,North America,WN,17.0,15.0
United Airlines,2007'Q1,19541.0,public,US,North America,UA,10.0,7.0
Alaska Air,2007'Q1,3377.0,public,US,North America,AS,10.0,5.0
JetBlue,2007'Q1,2484.0,public,US,North America,B6,34.0,12.0
Spirit Airlines,2007'Q1,598.0,public,US,North America,NK,40.0,-2.0
Allegiant,2007'Q1,273.0,public,US,North America,G4,75.0,14.0
Hawaiian,2007'Q1,912.0,public,US,North America,HA,59.0,4.0
SkyWest,2007'Q1,3180.0,public,US,North America,OO,46.0,17.0
Northwest Airlines,2007'Q1,12558.0,merged with Delta 2008,US,North America,NW,2.0,11.0
Air Canada,2007'Q1,9168.0,public,CA,North America,AC,11.0,8.0
WestJet Airlines,2007'Q1,1671.0,public,CA,North America,WS,31.0,21.0
Exchange Income Corporation,2007'Q1,82.0,public,CA,North America,,48.0,14.0
IAG,2007'Q1,16075.0,public,EU,Europe,IAG,4.0,16.0
Air France-KLM,2007'Q1,29775.0,public,EU,Europe,AF/KL,10.0,14.0
Ryanair,2007'Q1,3307.0,public,EU,Europe,FR,45.0,27.0
easyJet,2007'Q1,3183.0,public,EU,Europe,U2,26.0,9.0
Deutsche Lufthansa,2007'Q1,26975.0,public,EU,Europe,LH,17.0,13.0
Norwegian Air Shuttle,2007'Q1,548.0,public,EU,Europe,DY,63.0,2.0
Finnair,2007'Q1,2799.0,public,EU,Europe,AY,19.0,6.0
Singapore Airlines,2007'Q1,10059.0,public,SG,Asia Pacific,SQ,17.0,20.0
Qantas Airways,2007'Q1,10780.0,public,AU,Asia Pacific,QF,11.0,16.0
Japan Airlines,2007'Q1,20245.0,public,JP,Asia Pacific,JL,7.0,7.0
ANA Holdings,2007'Q1,13212.0,public,JP,Asia Pacific,NH,11.0,12.0
Korean Air,2007'Q1,9124.0,public,KR,Asia Pacific,KE,14.0,8.0
Asiana Airlines,2007'Q1,3978.0,public,KR,Asia Pacific,OZ,21.0,4.0
Cathay Pacific,2007'Q1,8324.0,public,HK,Asia Pacific,CX,21.0,16.0
Copa Holdings,2007'Q1,897.0,public,PA,Latin America,CM,35.0,22.0
Gol Linhas Aereas,2007'Q1,2070.0,public,BR,Latin America,G3,58.0,15.0
LATAM Airlines,2007'Q1,3207.0,public,CL,Latin America,LA,19.0,12.0
Air China,2007'Q1,6229.0,public,CN,China,CA,23.0,20.0
China Eastern,2007'Q1,5113.0,public,CN,China,MU,36.0,8.0
China Southern,2007'Q1,6333.0,public,CN,China,CZ,25.0,12.0
Hainan Airlines,2007'Q1,1638.0,public,CN,China,HU,25.0,11.0
SpiceJet,2007'Q1,21.0,public,IN,India,SG,82.0,-9.0
Kenya Airlines,2007'Q1,883.0,public,KE,Africa,KQ,15.0,18.0
Comair,2007'Q1,286.0,public,ZA,Africa,MN,9.0,11.0
Emirates,2007'Q1,9176.0,private,AE,Middle East,EK,30.0,12.0
Aeroflot,2007'Q1,3212.0,"taken private 2023, war",RU,Russia,SU,18.0,18.0
Air Arabia,2007'Q1,215.0,public,AE,Middle East,G9,67.0,16.0
Jazeera Airways,2007'Q1,91.0,public,KW,Middle East,J9,100.0,29.0
American Airlines,2007'Q2,22749.0,public,US,North America,AA,5.0,10.0
Delta Air Lines,2007'Q2,18343.0,public,US,North America,DL,8.0,10.0
Southwest Airlines,2007'Q2,9474.0,public,US,North America,WN,14.0,15.0
United Airlines,2007'Q2,19742.0,public,US,North America,UA,8.0,8.0
Alaska Air,2007'Q2,3420.0,public,US,North America,AS,9.0,7.0
JetBlue,2007'Q2,2604.0,public,US,North America,B6,30.0,12.0
Spirit Airlines,2007'Q2,653.0,public,US,North America,NK,40.0,0.0
Allegiant,2007'Q2,302.0,public,US,North America,G4,66.0,15.0
Hawaiian,2007'Q2,935.0,public,US,North America,HA,43.0,5.0
SkyWest,2007'Q2,3244.0,public,US,North America,OO,33.0,17.0
Northwest Airlines,2007'Q2,12548.0,merged with Delta 2008,US,North America,NW,1.0,11.0
Air Canada,2007'Q2,9696.0,public,CA,North America,AC,15.0,9.0
WestJet Airlines,2007'Q2,1832.0,public,CA,North America,WS,35.0,21.0
Exchange Income Corporation,2007'Q2,90.0,public,CA,North America,,48.0,14.0
IAG,2007'Q2,16550.0,public,EU,Europe,IAG,6.0,15.0
Air France-KLM,2007'Q2,30850.0,public,EU,Europe,AF/KL,11.0,14.0
Ryanair,2007'Q2,3635.0,public,EU,Europe,FR,45.0,27.0
easyJet,2007'Q2,3339.0,public,EU,Europe,U2,24.0,10.0
Deutsche Lufthansa,2007'Q2,28950.0,public,EU,Europe,LH,22.0,13.0
Norwegian Air Shuttle,2007'Q2,626.0,public,EU,Europe,DY,64.0,3.0
Finnair,2007'Q2,2956.0,public,EU,Europe,AY,21.0,8.0
Singapore Airlines,2007'Q2,10564.0,public,SG,Asia Pacific,SQ,19.0,21.0
Qantas Airways,2007'Q2,11413.0,public,AU,Asia Pacific,QF,15.0,17.0
Japan Airlines,2007'Q2,20924.0,public,JP,Asia Pacific,JL,9.0,8.0
ANA Holdings,2007'Q2,13763.0,public,JP,Asia Pacific,NH,13.0,13.0
Korean Air,2007'Q2,9312.0,public,KR,Asia Pacific,KE,12.0,8.0
Asiana Airlines,2007'Q2,4034.0,public,KR,Asia Pacific,OZ,16.0,5.0
Cathay Pacific,2007'Q2,8790.0,public,HK,Asia Pacific,CX,22.0,16.0
Copa Holdings,2007'Q2,943.0,public,PA,Latin America,CM,31.0,22.0
Gol Linhas Aereas,2007'Q2,2315.0,public,BR,Latin America,G3,57.0,10.0
LATAM Airlines,2007'Q2,3324.0,public,CL,Latin America,LA,18.0,12.0
Air China,2007'Q2,6487.0,public,CN,China,CA,21.0,19.0
China Eastern,2007'Q2,5376.0,public,CN,China,MU,32.0,9.0
China Southern,2007'Q2,6727.0,public,CN,China,CZ,26.0,13.0
Hainan Airlines,2007'Q2,1691.0,public,CN,China,HU,21.0,15.0
SpiceJet,2007'Q2,26.0,public,IN,India,SG,90.0,-10.0
Kenya Airlines,2007'Q2,909.0,public,KE,Africa,KQ,14.0,16.0
Comair,2007'Q2,294.0,public,ZA,Africa,MN,10.0,11.0
Emirates,2007'Q2,9884.0,private,AE,Middle East,EK,31.0,11.0
Aeroflot,2007'Q2,3415.0,"taken private 2023, war",RU,Russia,SU,21.0,18.0
Air Arabia,2007'Q2,218.0,public,AE,Middle East,G9,47.0,18.0
Jazeera Airways,2007'Q2,104.0,public,KW,Middle East,J9,100.0,25.0
American Airlines,2007'Q3,22842.0,public,US,North America,AA,3.0,10.0
Delta Air Lines,2007'Q3,18749.0,public,US,North America,DL,9.0,11.0
Southwest Airlines,2007'Q3,9667.0,public,US,North America,WN,11.0,14.0
United Airlines,2007'Q3,19942.0,public,US,North America,UA,6.0,9.0
Alaska Air,2007'Q3,3463.0,public,US,North America,AS,7.0,9.0
JetBlue,2007'Q3,2723.0,public,US,North America,B6,25.0,12.0
Spirit Airlines,2007'Q3,708.0,public,US,North America,NK,40.0,3.0
Allegiant,2007'Q3,331.0,public,US,North America,G4,57.0,16.0
Hawaiian,2007'Q3,959.0,public,US,North America,HA,27.0,5.0
SkyWest,2007'Q3,3309.0,public,US,North America,OO,21.0,17.0
Northwest Airlines,2007'Q3,12538.0,merged with Delta 2008,US,North America,NW,0.0,12.0
Air Canada,2007'Q3,10225.0,public,CA,North America,AC,20.0,10.0
WestJet Airlines,2007'Q3,1992.0,public,CA,North America,WS,39.0,22.0
Exchange Income Corporation,2007'Q3,99.0,public,CA,North America,,47.0,14.0
IAG,2007'Q3,17025.0,public,EU,Europe,IAG,9.0,15.0
Air France-KLM,2007'Q3,31925.0,public,EU,Europe,AF/KL,13.0,15.0
Ryanair,2007'Q3,3963.0,public,EU,Europe,FR,44.0,27.0
easyJet,2007'Q3,3495.0,public,EU,Europe,U2,22.0,11.0
Deutsche Lufthansa,2007'Q3,30925.0,public,EU,Europe,LH,27.0,13.0
Norwegian Air Shuttle,2007'Q3,703.0,public,EU,Europe,DY,65.0,4.0
Finnair,2007'Q3,3114.0,public,EU,Europe,AY,22.0,9.0
Singapore Airlines,2007'Q3,11070.0,public,SG,Asia Pacific,SQ,20.0,22.0
Qantas Airways,2007'Q3,12046.0,public,AU,Asia Pacific,QF,20.0,19.0
Japan Airlines,2007'Q3,21603.0,public,JP,Asia Pacific,JL,12.0,8.0
ANA Holdings,2007'Q3,14313.0,public,JP,Asia Pacific,NH,15.0,13.0
Korean Air,2007'Q3,9499.0,public,KR,Asia Pacific,KE,10.0,8.0
Asiana Airlines,2007'Q3,4090.0,public,KR,Asia Pacific,OZ,11.0,5.0
Cathay Pacific,2007'Q3,9256.0,public,HK,Asia Pacific,CX,23.0,17.0
Copa Holdings,2007'Q3,989.0,public,PA,Latin America,CM,26.0,22.0
Gol Linhas Aereas,2007'Q3,2560.0,public,BR,Latin America,G3,55.0,6.0
LATAM Airlines,2007'Q3,3440.0,public,CL,Latin America,LA,16.0,12.0
Air China,2007'Q3,6745.0,public,CN,China,CA,19.0,19.0
China Eastern,2007'Q3,5638.0,public,CN,China,MU,27.0,11.0
China Southern,2007'Q3,7122.0,public,CN,China,CZ,26.0,13.0
Hainan Airlines,2007'Q3,1744.0,public,CN,China,HU,17.0,18.0
SpiceJet,2007'Q3,30.0,public,IN,India,SG,97.0,-11.0
Kenya Airlines,2007'Q3,936.0,public,KE,Africa,KQ,13.0,15.0
Comair,2007'Q3,303.0,public,ZA,Africa,MN,11.0,12.0
Emirates,2007'Q3,10593.0,private,AE,Middle East,EK,32.0,10.0
Aeroflot,2007'Q3,3618.0,"taken private 2023, war",RU,Russia,SU,24.0,19.0
Air Arabia,2007'Q3,222.0,public,AE,Middle East,G9,26.0,20.0
Jazeera Airways,2007'Q3,118.0,public,KW,Middle East,J9,100.0,21.0
American Airlines,2007'Q4,22935.0,public,US,North America,AA,2.0,10.0
Delta Air Lines,2007'Q4,19154.0,public,US,North America,DL,9.0,12.0
Southwest Airlines,2007'Q4,9861.0,public,US,North America,WN,9.0,14.0
United Airlines,2007'Q4,20143.0,public,US,North America,UA,4.0,10.0
Alaska Air,2007'Q4,3506.0,public,US,North America,AS,5.0,11.0
JetBlue,2007'Q4,2843.0,public,US,North America,B6,20.0,12.0
Spirit Airlines,2007'Q4,763.0,public,US,North America,NK,40.0,5.0
Allegiant,2007'Q4,361.0,public,US,North America,G4,48.0,17.0
Hawaiian,2007'Q4,983.0,public,US,North America,HA,11.0,5.0
SkyWest,2007'Q4,3374.0,public,US,North America,OO,8.0,16.0
Northwest Airlines,2007'Q4,12528.0,merged with Delta 2008,US,North America,NW,0.0,13.0
Air Canada,2007'Q4,10753.0,public,CA,North America,AC,24.0,10.0
WestJet Airlines,2007'Q4,2153.0,public,CA,North America,WS,43.0,22.0
Exchange Income Corporation,2007'Q4,107.0,public,CA,North America,,46.0,14.0
IAG,2007'Q4,17500.0,public,EU,Europe,IAG,12.0,14.0
Air France-KLM,2007'Q4,33000.0,public,EU,Europe,AF/KL,15.0,15.0
Ryanair,2007'Q4,4291.0,public,EU,Europe,FR,44.0,26.0
easyJet,2007'Q4,3651.0,public,EU,Europe,U2,21.0,11.0
Deutsche Lufthansa,2007'Q4,32900.0,public,EU,Europe,LH,32.0,13.0
Norwegian Air Shuttle,2007'Q4,781.0,public,EU,Europe,DY,66.0,5.0
Finnair,2007'Q4,3272.0,public,EU,Europe,AY,24.0,11.0
Singapore Airlines,2007'Q4,11575.0,public,SG,Asia Pacific,SQ,21.0,24.0
Qantas Airways,2007'Q4,12679.0,public,AU,Asia Pacific,QF,25.0,21.0
Japan Airlines,2007'Q4,22282.0,public,JP,Asia Pacific,JL,14.0,9.0
ANA Holdings,2007'Q4,14863.0,public,JP,Asia Pacific,NH,17.0,14.0
Korean Air,2007'Q4,9687.0,public,KR,Asia Pacific,KE,8.0,9.0
Asiana Airlines,2007'Q4,4146.0,public,KR,Asia Pacific,OZ,6.0,5.0
Cathay Pacific,2007'Q4,9722.0,public,HK,Asia Pacific,CX,24.0,17.0
Copa Holdings,2007'Q4,1035.0,public,PA,Latin America,CM,22.0,22.0
Gol Linhas Aereas,2007'Q4,2806.0,public,BR,Latin America,G3,54.0,1.0
LATAM Airlines,2007'Q4,3557.0,public,CL,Latin America,LA,15.0,13.0
Air China,2007'Q4,7003.0,public,CN,China,CA,17.0,18.0
China Eastern,2007'Q4,5901.0,public,CN,China,MU,22.0,12.0
China Southern,2007'Q4,7517.0,public,CN,China,CZ,27.0,14.0
Hainan Airlines,2007'Q4,1797.0,public,CN,China,HU,13.0,22.0
SpiceJet,2007'Q4,35.0,public,IN,India,SG,100.0,-11.0
Kenya Airlines,2007'Q4,963.0,public,KE,Africa,KQ,13.0,13.0
Comair,2007'Q4,311.0,public,ZA,Africa,MN,12.0,12.0
Emirates,2007'Q4,11301.0,private,AE,Middle East,EK,33.0,9.0
Aeroflot,2007'Q4,3821.0,"taken private 2023, war",RU,Russia,SU,27.0,19.0
Air Arabia,2007'Q4,225.0,public,AE,Middle East,G9,6.0,22.0
Jazeera Airways,2007'Q4,131.0,public,KW,Middle East,J9,68.0,18.0
American Airlines,2008'Q1,23143.0,public,US,North America,AA,2.0,8.0
Delta Air Lines,2008'Q1,20040.0,public,US,North America,DL,12.0,10.0
Southwest Airlines,2008'Q1,10152.0,public,US,North America,WN,9.0,13.0
United Airlines,2008'Q1,20156.0,public,US,North America,UA,3.0,6.0
Alaska Air,2008'Q1,3545.0,public,US,North America,AS,5.0,9.0
JetBlue,2008'Q1,2980.0,public,US,North America,B6,20.0,12.0
Spirit Airlines,2008'Q1,769.0,public,US,North America,NK,31.0,3.0
Allegiant,2008'Q1,396.0,public,US,North America,G4,46.0,16.0
Hawaiian,2008'Q1,1040.0,public,US,North America,HA,14.0,6.0
SkyWest,2008'Q1,3405.0,public,US,North America,OO,7.0,16.0
Northwest Airlines,2008'Q1,12789.0,merged with Delta 2008,US,North America,NW,2.0,8.0
Air Canada,2008'Q1,10346.0,public,CA,North America,AC,15.0,9.0
WestJet Airlines,2008'Q1,2135.0,public,CA,North America,WS,31.0,21.0
Exchange Income Corporation,2008'Q1,113.0,public,CA,North America,,40.0,14.0
IAG,2008'Q1,17275.0,public,EU,Europe,IAG,8.0,14.0
Air France-KLM,2008'Q1,33925.0,public,EU,Europe,AF/KL,14.0,14.0
Ryanair,2008'Q1,4197.0,public,EU,Europe,FR,31.0,23.0
easyJet,2008'Q1,3801.0,public,EU,Europe,U2,20.0,10.0
Deutsche Lufthansa,2008'Q1,33825.0,public,EU,Europe,LH,27.0,13.0
Norwegian Air Shuttle,2008'Q1,808.0,public,EU,Europe,DY,53.0,3.0
Finnair,2008'Q1,3248.0,public,EU,Europe,AY,17.0,9.0
Singapore Airlines,2008'Q1,11313.0,public,SG,Asia Pacific,SQ,14.0,22.0
Qantas Airways,2008'Q1,13406.0,public,AU,Asia Pacific,QF,24.0,21.0
Japan Airlines,2008'Q1,21684.0,public,JP,Asia Pacific,JL,8.0,8.0
ANA Holdings,2008'Q1,14696.0,public,JP,Asia Pacific,NH,12.0,12.0
Korean Air,2008'Q1,9346.0,public,KR,Asia Pacific,KE,3.0,6.0
Asiana Airlines,2008'Q1,3992.0,public,KR,Asia Pacific,OZ,1.0,4.0
Cathay Pacific,2008'Q1,10084.0,public,HK,Asia Pacific,CX,22.0,12.0
Copa Holdings,2008'Q1,1099.0,public,PA,Latin America,CM,22.0,22.0
Gol Linhas Aereas,2008'Q1,2790.0,public,BR,Latin America,G3,40.0,1.0
LATAM Airlines,2008'Q1,3738.0,public,CL,Latin America,LA,16.0,15.0
Air China,2008'Q1,7204.0,public,CN,China,CA,16.0,16.0
China Eastern,2008'Q1,5943.0,public,CN,China,MU,17.0,4.0
China Southern,2008'Q1,7700.0,public,CN,China,CZ,22.0,11.0
Hainan Airlines,2008'Q1,1830.0,public,CN,China,HU,12.0,19.0
SpiceJet,2008'Q1,149.0,public,IN,India,SG,100.0,-8.0
Kenya Airlines,2008'Q1,946.0,public,KE,Africa,KQ,8.0,13.0
Comair,2008'Q1,319.0,public,ZA,Africa,MN,12.0,11.0
Emirates,2008'Q1,11597.0,private,AE,Middle East,EK,28.0,10.0
Aeroflot,2008'Q1,4024.0,"taken private 2023, war",RU,Russia,SU,26.0,17.0
Air Arabia,2008'Q1,310.0,public,AE,Middle East,G9,42.0,20.0
Jazeera Airways,2008'Q1,144.0,public,KW,Middle East,J9,61.0,17.0
American Airlines,2008'Q2,23351.0,public,US,North America,AA,3.0,6.0
Delta Air Lines,2008'Q2,20926.0,public,US,North America,DL,14.0,9.0
Southwest Airlines,2008'Q2,10442.0,public,US,North America,WN,10.0,12.0
United Airlines,2008'Q2,20169.0,public,US,North America,UA,2.0,3.0
Alaska Air,2008'Q2,3584.0,public,US,North America,AS,5.0,6.0
JetBlue,2008'Q2,3118.0,public,US,North America,B6,20.0,11.0
Spirit Airlines,2008'Q2,775.0,public,US,North America,NK,22.0,2.0
Allegiant,2008'Q2,432.0,public,US,North America,G4,44.0,16.0
Hawaiian,2008'Q2,1097.0,public,US,North America,HA,17.0,6.0
SkyWest,2008'Q2,3435.0,public,US,North America,OO,6.0,15.0
Northwest Airlines,2008'Q2,13050.0,merged with Delta 2008,US,North America,NW,4.0,4.0
Air Canada,2008'Q2,9939.0,public,CA,North America,AC,5.0,8.0
WestJet Airlines,2008'Q2,2117.0,public,CA,North America,WS,20.0,19.0
Exchange Income Corporation,2008'Q2,118.0,public,CA,North America,,33.0,14.0
IAG,2008'Q2,17050.0,public,EU,Europe,IAG,4.0,13.0
Air France-KLM,2008'Q2,34850.0,public,EU,Europe,AF/KL,13.0,13.0
Ryanair,2008'Q2,4103.0,public,EU,Europe,FR,18.0,19.0
easyJet,2008'Q2,3952.0,public,EU,Europe,U2,19.0,9.0
Deutsche Lufthansa,2008'Q2,34750.0,public,EU,Europe,LH,21.0,13.0
Norwegian Air Shuttle,2008'Q2,835.0,public,EU,Europe,DY,40.0,1.0
Finnair,2008'Q2,3225.0,public,EU,Europe,AY,11.0,7.0
Singapore Airlines,2008'Q2,11052.0,public,SG,Asia Pacific,SQ,6.0,20.0
Qantas Airways,2008'Q2,14133.0,public,AU,Asia Pacific,QF,24.0,22.0
Japan Airlines,2008'Q2,21086.0,public,JP,Asia Pacific,JL,2.0,6.0
ANA Holdings,2008'Q2,14530.0,public,JP,Asia Pacific,NH,6.0,11.0
Korean Air,2008'Q2,9006.0,public,KR,Asia Pacific,KE,-3.0,4.0
Asiana Airlines,2008'Q2,3838.0,public,KR,Asia Pacific,OZ,-5.0,2.0
Cathay Pacific,2008'Q2,10446.0,public,HK,Asia Pacific,CX,19.0,7.0
Copa Holdings,2008'Q2,1162.0,public,PA,Latin America,CM,23.0,22.0
Gol Linhas Aereas,2008'Q2,2775.0,public,BR,Latin America,G3,26.0,1.0
LATAM Airlines,2008'Q2,3920.0,public,CL,Latin America,LA,18.0,16.0
Air China,2008'Q2,7405.0,public,CN,China,CA,14.0,14.0
China Eastern,2008'Q2,5985.0,public,CN,China,MU,12.0,-3.0
China Southern,2008'Q2,7882.0,public,CN,China,CZ,18.0,9.0
Hainan Airlines,2008'Q2,1862.0,public,CN,China,HU,10.0,16.0
SpiceJet,2008'Q2,263.0,public,IN,India,SG,100.0,-4.0
Kenya Airlines,2008'Q2,929.0,public,KE,Africa,KQ,3.0,12.0
Comair,2008'Q2,328.0,public,ZA,Africa,MN,11.0,10.0
Emirates,2008'Q2,11892.0,private,AE,Middle East,EK,22.0,12.0
Aeroflot,2008'Q2,4228.0,"taken private 2023, war",RU,Russia,SU,24.0,15.0
Air Arabia,2008'Q2,394.0,public,AE,Middle East,G9,78.0,19.0
Jazeera Airways,2008'Q2,157.0,public,KW,Middle East,J9,54.0,16.0
American Airlines,2008'Q3,23558.0,public,US,North America,AA,3.0,4.0
Delta Air Lines,2008'Q3,21811.0,public,US,North America,DL,16.0,8.0
Southwest Airlines,2008'Q3,10733.0,public,US,North America,WN,11.0,11.0
United Airlines,2008'Q3,20181.0,public,US,North America,UA,1.0,-1.0
Alaska Air,2008'Q3,3623.0,public,US,North America,AS,5.0,4.0
JetBlue,2008'Q3,3255.0,public,US,North America,B6,20.0,10.0
Spirit Airlines,2008'Q3,781.0,public,US,North America,NK,13.0,0.0
Allegiant,2008'Q3,468.0,public,US,North America,G4,42.0,16.0
Hawaiian,2008'Q3,1154.0,public,US,North America,HA,20.0,7.0
SkyWest,2008'Q3,3466.0,public,US,North America,OO,5.0,14.0
Northwest Airlines,2008'Q3,13311.0,merged with Delta 2008,US,North America,NW,6.0,-1.0
Air Canada,2008'Q3,9532.0,public,CA,North America,AC,-5.0,8.0
WestJet Airlines,2008'Q3,2100.0,public,CA,North America,WS,8.0,18.0
Exchange Income Corporation,2008'Q3,123.0,public,CA,North America,,27.0,14.0
IAG,2008'Q3,16825.0,public,EU,Europe,IAG,-1.0,12.0
Air France-KLM,2008'Q3,35775.0,public,EU,Europe,AF/KL,12.0,11.0
Ryanair,2008'Q3,4009.0,public,EU,Europe,FR,4.0,15.0
easyJet,2008'Q3,4102.0,public,EU,Europe,U2,18.0,7.0
Deutsche Lufthansa,2008'Q3,35675.0,public,EU,Europe,LH,16.0,13.0
Norwegian Air Shuttle,2008'Q3,862.0,public,EU,Europe,DY,27.0,-1.0
Finnair,2008'Q3,3202.0,public,EU,Europe,AY,4.0,4.0
Singapore Airlines,2008'Q3,10790.0,public,SG,Asia Pacific,SQ,-1.0,18.0
Qantas Airways,2008'Q3,14860.0,public,AU,Asia Pacific,QF,23.0,22.0
Japan Airlines,2008'Q3,20487.0,public,JP,Asia Pacific,JL,-5.0,5.0
ANA Holdings,2008'Q3,14363.0,public,JP,Asia Pacific,NH,1.0,10.0
Korean Air,2008'Q3,8665.0,public,KR,Asia Pacific,KE,-8.0,2.0
