Airline,Date,Revenue,Status,Country,Region,IATA
Air Canada,2005'Q3,12.0,public,CA,North America,AC
Air France-KLM,2005'Q3,22.0,public,EU,Europe,AF/KL
Ryanair,2005'Q3,22.0,public,EU,Europe,FR
easyJet,2005'Q3,22.0,public,EU,Europe,U2
Finnair,2005'Q3,1.0,public,EU,Europe,AY
Singapore Airlines,2005'Q3,16.0,public,SG,Asia Pacific,SQ
Qantas Airways,2005'Q3,18.0,public,AU,Asia Pacific,QF
Cathay Pacific,2005'Q3,31.0,public,HK,Asia Pacific,CX
LATAM Airlines,2005'Q3,22.0,public,CL,Latin America,LA
Air China,2005'Q3,21.0,public,CN,China,CA
China Eastern,2005'Q3,37.0,public,CN,China,MU
China Southern,2005'Q3,57.0,public,CN,China,CZ
Hainan Airlines,2005'Q3,31.0,public,CN,China,HU
Aeroflot,2005'Q3,21.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2005'Q4,11.0,public,US,North America,AA
Delta Air Lines,2005'Q4,8.0,public,US,North America,DL
Southwest Airlines,2005'Q4,16.0,public,US,North America,WN
United Airlines,2005'Q4,6.0,public,US,North America,UA
Alaska Air,2005'Q4,9.0,public,US,North America,AS
JetBlue,2005'Q4,35.0,public,US,North America,B6
SkyWest,2005'Q4,70.0,public,US,North America,OO
Northwest Airlines,2005'Q4,9.0,merged with Delta 2008,US,North America,NW
Air Canada,2005'Q4,11.0,public,CA,North America,AC
Air France-KLM,2005'Q4,8.0,public,EU,Europe,AF/KL
Ryanair,2005'Q4,20.0,public,EU,Europe,FR
easyJet,2005'Q4,21.0,public,EU,Europe,U2
Finnair,2005'Q4,-3.0,public,EU,Europe,AY
Singapore Airlines,2005'Q4,13.0,public,SG,Asia Pacific,SQ
Qantas Airways,2005'Q4,23.0,public,AU,Asia Pacific,QF
Cathay Pacific,2005'Q4,31.0,public,HK,Asia Pacific,CX
LATAM Airlines,2005'Q4,20.0,public,CL,Latin America,LA
Air China,2005'Q4,16.0,public,CN,China,CA
China Eastern,2005'Q4,33.0,public,CN,China,MU
China Southern,2005'Q4,64.0,public,CN,China,CZ
Hainan Airlines,2005'Q4,24.0,public,CN,China,HU
Aeroflot,2005'Q4,20.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2006'Q1,11.0,public,US,North America,AA
Delta Air Lines,2006'Q1,8.0,public,US,North America,DL
Southwest Airlines,2006'Q1,17.0,public,US,North America,WN
United Airlines,2006'Q1,7.0,public,US,North America,UA
Alaska Air,2006'Q1,10.0,public,US,North America,AS
JetBlue,2006'Q1,36.0,public,US,North America,B6
SkyWest,2006'Q1,67.0,public,US,North America,OO
Northwest Airlines,2006'Q1,7.0,merged with Delta 2008,US,North America,NW
Air Canada,2006'Q1,10.0,public,CA,North America,AC
Air France-KLM,2006'Q1,10.0,public,EU,Europe,AF/KL
Ryanair,2006'Q1,26.0,public,EU,Europe,FR
easyJet,2006'Q1,22.0,public,EU,Europe,U2
Finnair,2006'Q1,2.0,public,EU,Europe,AY
Singapore Airlines,2006'Q1,14.0,public,SG,Asia Pacific,SQ
Qantas Airways,2006'Q1,18.0,public,AU,Asia Pacific,QF
Cathay Pacific,2006'Q1,28.0,public,HK,Asia Pacific,CX
LATAM Airlines,2006'Q1,20.0,public,CL,Latin America,LA
Air China,2006'Q1,18.0,public,CN,China,CA
China Eastern,2006'Q1,35.0,public,CN,China,MU
China Southern,2006'Q1,54.0,public,CN,China,CZ
Hainan Airlines,2006'Q1,25.0,public,CN,China,HU
Aeroflot,2006'Q1,19.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2006'Q2,10.0,public,US,North America,AA
Delta Air Lines,2006'Q2,7.0,public,US,North America,DL
Southwest Airlines,2006'Q2,18.0,public,US,North America,WN
United Airlines,2006'Q2,9.0,public,US,North America,UA
Alaska Air,2006'Q2,11.0,public,US,North America,AS
JetBlue,2006'Q2,37.0,public,US,North America,B6
SkyWest,2006'Q2,64.0,public,US,North America,OO
Northwest Airlines,2006'Q2,6.0,merged with Delta 2008,US,North America,NW
Air Canada,2006'Q2,9.0,public,CA,North America,AC
Air France-KLM,2006'Q2,12.0,public,EU,Europe,AF/KL
Ryanair,2006'Q2,33.0,public,EU,Europe,FR
easyJet,2006'Q2,24.0,public,EU,Europe,U2
Finnair,2006'Q2,7.0,public,EU,Europe,AY
Singapore Airlines,2006'Q2,15.0,public,SG,Asia Pacific,SQ
Qantas Airways,2006'Q2,14.0,public,AU,Asia Pacific,QF
Cathay Pacific,2006'Q2,25.0,public,HK,Asia Pacific,CX
LATAM Airlines,2006'Q2,20.0,public,CL,Latin America,LA
Air China,2006'Q2,21.0,public,CN,China,CA
China Eastern,2006'Q2,37.0,public,CN,China,MU
China Southern,2006'Q2,44.0,public,CN,China,CZ
Hainan Airlines,2006'Q2,26.0,public,CN,China,HU
Aeroflot,2006'Q2,18.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2006'Q3,9.0,public,US,North America,AA
Delta Air Lines,2006'Q3,7.0,public,US,North America,DL
Southwest Airlines,2006'Q3,19.0,public,US,North America,WN
United Airlines,2006'Q3,10.0,public,US,North America,UA
Alaska Air,2006'Q3,11.0,public,US,North America,AS
JetBlue,2006'Q3,38.0,public,US,North America,B6
SkyWest,2006'Q3,61.0,public,US,North America,OO
Northwest Airlines,2006'Q3,4.0,merged with Delta 2008,US,North America,NW
Air Canada,2006'Q3,8.0,public,CA,North America,AC
Air France-KLM,2006'Q3,14.0,public,EU,Europe,AF/KL
Ryanair,2006'Q3,39.0,public,EU,Europe,FR
easyJet,2006'Q3,26.0,public,EU,Europe,U2
Finnair,2006'Q3,13.0,public,EU,Europe,AY
Singapore Airlines,2006'Q3,15.0,public,SG,Asia Pacific,SQ
Qantas Airways,2006'Q3,10.0,public,AU,Asia Pacific,QF
Cathay Pacific,2006'Q3,22.0,public,HK,Asia Pacific,CX
LATAM Airlines,2006'Q3,20.0,public,CL,Latin America,LA
Air China,2006'Q3,23.0,public,CN,China,CA
China Eastern,2006'Q3,39.0,public,CN,China,MU
China Southern,2006'Q3,35.0,public,CN,China,CZ
Hainan Airlines,2006'Q3,28.0,public,CN,China,HU
Aeroflot,2006'Q3,17.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2006'Q4,9.0,public,US,North America,AA
Delta Air Lines,2006'Q4,6.0,public,US,North America,DL
Southwest Airlines,2006'Q4,20.0,public,US,North America,WN
United Airlines,2006'Q4,11.0,public,US,North America,UA
Alaska Air,2006'Q4,12.0,public,US,North America,AS
JetBlue,2006'Q4,39.0,public,US,North America,B6
SkyWest,2006'Q4,59.0,public,US,North America,OO
Northwest Airlines,2006'Q4,2.0,merged with Delta 2008,US,North America,NW
Air Canada,2006'Q4,6.0,public,CA,North America,AC
Air France-KLM,2006'Q4,16.0,public,EU,Europe,AF/KL
Ryanair,2006'Q4,45.0,public,EU,Europe,FR
easyJet,2006'Q4,28.0,public,EU,Europe,U2
Finnair,2006'Q4,18.0,public,EU,Europe,AY
Singapore Airlines,2006'Q4,16.0,public,SG,Asia Pacific,SQ
Qantas Airways,2006'Q4,6.0,public,AU,Asia Pacific,QF
Cathay Pacific,2006'Q4,20.0,public,HK,Asia Pacific,CX
LATAM Airlines,2006'Q4,21.0,public,CL,Latin America,LA
Air China,2006'Q4,25.0,public,CN,China,CA
China Eastern,2006'Q4,41.0,public,CN,China,MU
China Southern,2006'Q4,25.0,public,CN,China,CZ
Hainan Airlines,2006'Q4,29.0,public,CN,China,HU
Aeroflot,2006'Q4,16.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2007'Q1,7.0,public,US,North America,AA
Delta Air Lines,2007'Q1,7.0,public,US,North America,DL
Southwest Airlines,2007'Q1,17.0,public,US,North America,WN
United Airlines,2007'Q1,10.0,public,US,North America,UA
Alaska Air,2007'Q1,10.0,public,US,North America,AS
JetBlue,2007'Q1,34.0,public,US,North America,B6
SkyWest,2007'Q1,46.0,public,US,North America,OO
Northwest Airlines,2007'Q1,2.0,merged with Delta 2008,US,North America,NW
Air Canada,2007'Q1,11.0,public,CA,North America,AC
Air France-KLM,2007'Q1,18.0,public,EU,Europe,AF/KL
Ryanair,2007'Q1,45.0,public,EU,Europe,FR
easyJet,2007'Q1,26.0,public,EU,Europe,U2
Finnair,2007'Q1,19.0,public,EU,Europe,AY
Singapore Airlines,2007'Q1,17.0,public,SG,Asia Pacific,SQ
Qantas Airways,2007'Q1,11.0,public,AU,Asia Pacific,QF
Cathay Pacific,2007'Q1,21.0,public,HK,Asia Pacific,CX
LATAM Airlines,2007'Q1,19.0,public,CL,Latin America,LA
Air China,2007'Q1,23.0,public,CN,China,CA
China Eastern,2007'Q1,36.0,public,CN,China,MU
China Southern,2007'Q1,25.0,public,CN,China,CZ
Hainan Airlines,2007'Q1,25.0,public,CN,China,HU
Aeroflot,2007'Q1,18.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2007'Q2,5.0,public,US,North America,AA
Delta Air Lines,2007'Q2,8.0,public,US,North America,DL
Southwest Airlines,2007'Q2,14.0,public,US,North America,WN
United Airlines,2007'Q2,8.0,public,US,North America,UA
Alaska Air,2007'Q2,9.0,public,US,North America,AS
JetBlue,2007'Q2,30.0,public,US,North America,B6
SkyWest,2007'Q2,33.0,public,US,North America,OO
Northwest Airlines,2007'Q2,1.0,merged with Delta 2008,US,North America,NW
Air Canada,2007'Q2,15.0,public,CA,North America,AC
Air France-KLM,2007'Q2,21.0,public,EU,Europe,AF/KL
Ryanair,2007'Q2,45.0,public,EU,Europe,FR
easyJet,2007'Q2,24.0,public,EU,Europe,U2
Finnair,2007'Q2,21.0,public,EU,Europe,AY
Singapore Airlines,2007'Q2,19.0,public,SG,Asia Pacific,SQ
Qantas Airways,2007'Q2,15.0,public,AU,Asia Pacific,QF
Cathay Pacific,2007'Q2,22.0,public,HK,Asia Pacific,CX
LATAM Airlines,2007'Q2,18.0,public,CL,Latin America,LA
Air China,2007'Q2,21.0,public,CN,China,CA
China Eastern,2007'Q2,32.0,public,CN,China,MU
China Southern,2007'Q2,26.0,public,CN,China,CZ
Hainan Airlines,2007'Q2,21.0,public,CN,China,HU
Aeroflot,2007'Q2,21.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2007'Q3,3.0,public,US,North America,AA
Delta Air Lines,2007'Q3,9.0,public,US,North America,DL
Southwest Airlines,2007'Q3,11.0,public,US,North America,WN
United Airlines,2007'Q3,6.0,public,US,North America,UA
Alaska Air,2007'Q3,7.0,public,US,North America,AS
JetBlue,2007'Q3,25.0,public,US,North America,B6
SkyWest,2007'Q3,21.0,public,US,North America,OO
Air Canada,2007'Q3,20.0,public,CA,North America,AC
Air France-KLM,2007'Q3,23.0,public,EU,Europe,AF/KL
Ryanair,2007'Q3,44.0,public,EU,Europe,FR
easyJet,2007'Q3,22.0,public,EU,Europe,U2
Finnair,2007'Q3,22.0,public,EU,Europe,AY
Singapore Airlines,2007'Q3,20.0,public,SG,Asia Pacific,SQ
Qantas Airways,2007'Q3,20.0,public,AU,Asia Pacific,QF
Cathay Pacific,2007'Q3,23.0,public,HK,Asia Pacific,CX
LATAM Airlines,2007'Q3,16.0,public,CL,Latin America,LA
Air China,2007'Q3,19.0,public,CN,China,CA
China Eastern,2007'Q3,27.0,public,CN,China,MU
China Southern,2007'Q3,26.0,public,CN,China,CZ
Hainan Airlines,2007'Q3,17.0,public,CN,China,HU
Aeroflot,2007'Q3,24.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2007'Q4,2.0,public,US,North America,AA
Delta Air Lines,2007'Q4,9.0,public,US,North America,DL
Southwest Airlines,2007'Q4,9.0,public,US,North America,WN
United Airlines,2007'Q4,4.0,public,US,North America,UA
Alaska Air,2007'Q4,5.0,public,US,North America,AS
JetBlue,2007'Q4,20.0,public,US,North America,B6
SkyWest,2007'Q4,8.0,public,US,North America,OO
Air Canada,2007'Q4,24.0,public,CA,North America,AC
Air France-KLM,2007'Q4,26.0,public,EU,Europe,AF/KL
Ryanair,2007'Q4,44.0,public,EU,Europe,FR
easyJet,2007'Q4,21.0,public,EU,Europe,U2
Finnair,2007'Q4,24.0,public,EU,Europe,AY
Singapore Airlines,2007'Q4,21.0,public,SG,Asia Pacific,SQ
Qantas Airways,2007'Q4,25.0,public,AU,Asia Pacific,QF
Cathay Pacific,2007'Q4,24.0,public,HK,Asia Pacific,CX
LATAM Airlines,2007'Q4,15.0,public,CL,Latin America,LA
Air China,2007'Q4,17.0,public,CN,China,CA
China Eastern,2007'Q4,22.0,public,CN,China,MU
China Southern,2007'Q4,27.0,public,CN,China,CZ
Hainan Airlines,2007'Q4,13.0,public,CN,China,HU
Aeroflot,2007'Q4,27.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2008'Q1,2.0,public,US,North America,AA
Delta Air Lines,2008'Q1,12.0,public,US,North America,DL
Southwest Airlines,2008'Q1,9.0,public,US,North America,WN
United Airlines,2008'Q1,3.0,public,US,North America,UA
Alaska Air,2008'Q1,5.0,public,US,North America,AS
JetBlue,2008'Q1,20.0,public,US,North America,B6
SkyWest,2008'Q1,7.0,public,US,North America,OO
Northwest Airlines,2008'Q1,2.0,merged with Delta 2008,US,North America,NW
Air Canada,2008'Q1,15.0,public,CA,North America,AC
Air France-KLM,2008'Q1,15.0,public,EU,Europe,AF/KL
Ryanair,2008'Q1,31.0,public,EU,Europe,FR
easyJet,2008'Q1,20.0,public,EU,Europe,U2
Finnair,2008'Q1,17.0,public,EU,Europe,AY
Singapore Airlines,2008'Q1,14.0,public,SG,Asia Pacific,SQ
Qantas Airways,2008'Q1,24.0,public,AU,Asia Pacific,QF
Cathay Pacific,2008'Q1,22.0,public,HK,Asia Pacific,CX
LATAM Airlines,2008'Q1,16.0,public,CL,Latin America,LA
Air China,2008'Q1,16.0,public,CN,China,CA
China Eastern,2008'Q1,17.0,public,CN,China,MU
China Southern,2008'Q1,22.0,public,CN,China,CZ
Hainan Airlines,2008'Q1,12.0,public,CN,China,HU
Aeroflot,2008'Q1,26.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2008'Q2,3.0,public,US,North America,AA
Delta Air Lines,2008'Q2,14.0,public,US,North America,DL
Southwest Airlines,2008'Q2,10.0,public,US,North America,WN
United Airlines,2008'Q2,2.0,public,US,North America,UA
Alaska Air,2008'Q2,5.0,public,US,North America,AS
JetBlue,2008'Q2,20.0,public,US,North America,B6
SkyWest,2008'Q2,6.0,public,US,North America,OO
Northwest Airlines,2008'Q2,4.0,merged with Delta 2008,US,North America,NW
Air Canada,2008'Q2,5.0,public,CA,North America,AC
Air France-KLM,2008'Q2,4.0,public,EU,Europe,AF/KL
Ryanair,2008'Q2,18.0,public,EU,Europe,FR
easyJet,2008'Q2,19.0,public,EU,Europe,U2
Finnair,2008'Q2,11.0,public,EU,Europe,AY
Singapore Airlines,2008'Q2,6.0,public,SG,Asia Pacific,SQ
Qantas Airways,2008'Q2,24.0,public,AU,Asia Pacific,QF
Cathay Pacific,2008'Q2,19.0,public,HK,Asia Pacific,CX
LATAM Airlines,2008'Q2,18.0,public,CL,Latin America,LA
Air China,2008'Q2,14.0,public,CN,China,CA
China Eastern,2008'Q2,12.0,public,CN,China,MU
China Southern,2008'Q2,18.0,public,CN,China,CZ
Hainan Airlines,2008'Q2,10.0,public,CN,China,HU
Aeroflot,2008'Q2,24.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2008'Q3,3.0,public,US,North America,AA
Delta Air Lines,2008'Q3,16.0,public,US,North America,DL
Southwest Airlines,2008'Q3,11.0,public,US,North America,WN
United Airlines,2008'Q3,1.0,public,US,North America,UA
Alaska Air,2008'Q3,5.0,public,US,North America,AS
JetBlue,2008'Q3,20.0,public,US,North America,B6
SkyWest,2008'Q3,5.0,public,US,North America,OO
Northwest Airlines,2008'Q3,6.0,merged with Delta 2008,US,North America,NW
Air Canada,2008'Q3,-5.0,public,CA,North America,AC
Air France-KLM,2008'Q3,-6.0,public,EU,Europe,AF/KL
Ryanair,2008'Q3,4.0,public,EU,Europe,FR
easyJet,2008'Q3,18.0,public,EU,Europe,U2
Finnair,2008'Q3,4.0,public,EU,Europe,AY
Singapore Airlines,2008'Q3,-1.0,public,SG,Asia Pacific,SQ
Qantas Airways,2008'Q3,23.0,public,AU,Asia Pacific,QF
Cathay Pacific,2008'Q3,17.0,public,HK,Asia Pacific,CX
LATAM Airlines,2008'Q3,19.0,public,CL,Latin America,LA
Air China,2008'Q3,13.0,public,CN,China,CA
China Eastern,2008'Q3,8.0,public,CN,China,MU
China Southern,2008'Q3,14.0,public,CN,China,CZ
Hainan Airlines,2008'Q3,9.0,public,CN,China,HU
Aeroflot,2008'Q3,23.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2008'Q4,4.0,public,US,North America,AA
Delta Air Lines,2008'Q4,18.0,public,US,North America,DL
Southwest Airlines,2008'Q4,12.0,public,US,North America,WN
Alaska Air,2008'Q4,4.0,public,US,North America,AS
JetBlue,2008'Q4,19.0,public,US,North America,B6
SkyWest,2008'Q4,4.0,public,US,North America,OO
Northwest Airlines,2008'Q4,8.0,merged with Delta 2008,US,North America,NW
Air Canada,2008'Q4,-15.0,public,CA,North America,AC
Air France-KLM,2008'Q4,-17.0,public,EU,Europe,AF/KL
Ryanair,2008'Q4,-9.0,public,EU,Europe,FR
easyJet,2008'Q4,16.0,public,EU,Europe,U2
Finnair,2008'Q4,-3.0,public,EU,Europe,AY
Singapore Airlines,2008'Q4,-9.0,public,SG,Asia Pacific,SQ
Qantas Airways,2008'Q4,23.0,public,AU,Asia Pacific,QF
Cathay Pacific,2008'Q4,15.0,public,HK,Asia Pacific,CX
LATAM Airlines,2008'Q4,20.0,public,CL,Latin America,LA
Air China,2008'Q4,11.0,public,CN,China,CA
China Eastern,2008'Q4,3.0,public,CN,China,MU
China Southern,2008'Q4,10.0,public,CN,China,CZ
Hainan Airlines,2008'Q4,7.0,public,CN,China,HU
Aeroflot,2008'Q4,21.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2009'Q1,-1.0,public,US,North America,AA
Delta Air Lines,2009'Q1,20.0,public,US,North America,DL
Southwest Airlines,2009'Q1,7.0,public,US,North America,WN
United Airlines,2009'Q1,-5.0,public,US,North America,UA
Alaska Air,2009'Q1,2.0,public,US,North America,AS
JetBlue,2009'Q1,14.0,public,US,North America,B6
SkyWest,2009'Q1,-4.0,public,US,North America,OO
Northwest Airlines,2009'Q1,8.0,merged with Delta 2008,US,North America,NW
Air Canada,2009'Q1,-11.0,public,CA,North America,AC
Air France-KLM,2009'Q1,-10.0,public,EU,Europe,AF/KL
Ryanair,2009'Q1,-6.0,public,EU,Europe,FR
easyJet,2009'Q1,13.0,public,EU,Europe,U2
Finnair,2009'Q1,-6.0,public,EU,Europe,AY
Singapore Airlines,2009'Q1,-10.0,public,SG,Asia Pacific,SQ
Qantas Airways,2009'Q1,11.0,public,AU,Asia Pacific,QF
Cathay Pacific,2009'Q1,6.0,public,HK,Asia Pacific,CX
LATAM Airlines,2009'Q1,12.0,public,CL,Latin America,LA
Air China,2009'Q1,9.0,public,CN,China,CA
China Eastern,2009'Q1,4.0,public,CN,China,MU
China Southern,2009'Q1,7.0,public,CN,China,CZ
Hainan Airlines,2009'Q1,9.0,public,CN,China,HU
Aeroflot,2009'Q1,9.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2009'Q2,-6.0,public,US,North America,AA
Delta Air Lines,2009'Q2,21.0,public,US,North America,DL
Southwest Airlines,2009'Q2,3.0,public,US,North America,WN
United Airlines,2009'Q2,-9.0,public,US,North America,UA
Alaska Air,2009'Q2,-1.0,public,US,North America,AS
JetBlue,2009'Q2,8.0,public,US,North America,B6
SkyWest,2009'Q2,-11.0,public,US,North America,OO
Northwest Airlines,2009'Q2,8.0,merged with Delta 2008,US,North America,NW
Air Canada,2009'Q2,-6.0,public,CA,North America,AC
Air France-KLM,2009'Q2,-4.0,public,EU,Europe,AF/KL
Ryanair,2009'Q2,-3.0,public,EU,Europe,FR
easyJet,2009'Q2,9.0,public,EU,Europe,U2
Finnair,2009'Q2,-9.0,public,EU,Europe,AY
Singapore Airlines,2009'Q2,-12.0,public,SG,Asia Pacific,SQ
Qantas Airways,2009'Q2,-1.0,public,AU,Asia Pacific,QF
Cathay Pacific,2009'Q2,-3.0,public,HK,Asia Pacific,CX
LATAM Airlines,2009'Q2,3.0,public,CL,Latin America,LA
Air China,2009'Q2,7.0,public,CN,China,CA
China Eastern,2009'Q2,5.0,public,CN,China,MU
China Southern,2009'Q2,5.0,public,CN,China,CZ
Hainan Airlines,2009'Q2,11.0,public,CN,China,HU
Aeroflot,2009'Q2,-3.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2009'Q3,-11.0,public,US,North America,AA
Delta Air Lines,2009'Q3,22.0,public,US,North America,DL
Southwest Airlines,2009'Q3,-2.0,public,US,North America,WN
United Airlines,2009'Q3,-14.0,public,US,North America,UA
Alaska Air,2009'Q3,-4.0,public,US,North America,AS
JetBlue,2009'Q3,3.0,public,US,North America,B6
SkyWest,2009'Q3,-18.0,public,US,North America,OO
Northwest Airlines,2009'Q3,8.0,merged with Delta 2008,US,North America,NW
Air Canada,2009'Q3,-2.0,public,CA,North America,AC
Air France-KLM,2009'Q3,3.0,public,EU,Europe,AF/KL
easyJet,2009'Q3,5.0,public,EU,Europe,U2
Finnair,2009'Q3,-13.0,public,EU,Europe,AY
Singapore Airlines,2009'Q3,-13.0,public,SG,Asia Pacific,SQ
Qantas Airways,2009'Q3,-12.0,public,AU,Asia Pacific,QF
Cathay Pacific,2009'Q3,-12.0,public,HK,Asia Pacific,CX
LATAM Airlines,2009'Q3,-6.0,public,CL,Latin America,LA
Air China,2009'Q3,4.0,public,CN,China,CA
China Eastern,2009'Q3,5.0,public,CN,China,MU
China Southern,2009'Q3,3.0,public,CN,China,CZ
Hainan Airlines,2009'Q3,13.0,public,CN,China,HU
Aeroflot,2009'Q3,-15.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2009'Q4,-16.0,public,US,North America,AA
Delta Air Lines,2009'Q4,24.0,public,US,North America,DL
Southwest Airlines,2009'Q4,-6.0,public,US,North America,WN
United Airlines,2009'Q4,-19.0,public,US,North America,UA
Alaska Air,2009'Q4,-7.0,public,US,North America,AS
JetBlue,2009'Q4,-3.0,public,US,North America,B6
SkyWest,2009'Q4,-25.0,public,US,North America,OO
Air Canada,2009'Q4,3.0,public,CA,North America,AC
Air France-KLM,2009'Q4,10.0,public,EU,Europe,AF/KL
Ryanair,2009'Q4,3.0,public,EU,Europe,FR
easyJet,2009'Q4,1.0,public,EU,Europe,U2
Finnair,2009'Q4,-16.0,public,EU,Europe,AY
Singapore Airlines,2009'Q4,-14.0,public,SG,Asia Pacific,SQ
Qantas Airways,2009'Q4,-24.0,public,AU,Asia Pacific,QF
Cathay Pacific,2009'Q4,-21.0,public,HK,Asia Pacific,CX
LATAM Airlines,2009'Q4,-14.0,public,CL,Latin America,LA
Air China,2009'Q4,2.0,public,CN,China,CA
China Eastern,2009'Q4,6.0,public,CN,China,MU
China Southern,2009'Q4,1.0,public,CN,China,CZ
Hainan Airlines,2009'Q4,14.0,public,CN,China,HU
Aeroflot,2009'Q4,-28.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2010'Q1,-9.0,public,US,North America,AA
Delta Air Lines,2010'Q1,21.0,public,US,North America,DL
United Airlines,2010'Q1,-4.0,public,US,North America,UA
Alaska Air,2010'Q1,-2.0,public,US,North America,AS
JetBlue,2010'Q1,1.0,public,US,North America,B6
SkyWest,2010'Q1,-17.0,public,US,North America,OO
Air Canada,2010'Q1,6.0,public,CA,North America,AC
Ryanair,2010'Q1,9.0,public,EU,Europe,FR
easyJet,2010'Q1,3.0,public,EU,Europe,U2
Finnair,2010'Q1,-12.0,public,EU,Europe,AY
Singapore Airlines,2010'Q1,-4.0,public,SG,Asia Pacific,SQ
Qantas Airways,2010'Q1,-18.0,public,AU,Asia Pacific,QF
Cathay Pacific,2010'Q1,-7.0,public,HK,Asia Pacific,CX
LATAM Airlines,2010'Q1,-5.0,public,CL,Latin America,LA
Air China,2010'Q1,16.0,public,CN,China,CA
China Eastern,2010'Q1,24.0,public,CN,China,MU
China Southern,2010'Q1,11.0,public,CN,China,CZ
Hainan Airlines,2010'Q1,22.0,public,CN,China,HU
Aeroflot,2010'Q1,-13.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2010'Q2,-2.0,public,US,North America,AA
Delta Air Lines,2010'Q2,18.0,public,US,North America,DL
Southwest Airlines,2010'Q2,5.0,public,US,North America,WN
United Airlines,2010'Q2,12.0,public,US,North America,UA
Alaska Air,2010'Q2,3.0,public,US,North America,AS
JetBlue,2010'Q2,6.0,public,US,North America,B6
SkyWest,2010'Q2,-10.0,public,US,North America,OO
Air Canada,2010'Q2,9.0,public,CA,North America,AC
Air France-KLM,2010'Q2,-10.0,public,EU,Europe,AF/KL
Ryanair,2010'Q2,15.0,public,EU,Europe,FR
easyJet,2010'Q2,6.0,public,EU,Europe,U2
Finnair,2010'Q2,-7.0,public,EU,Europe,AY
Singapore Airlines,2010'Q2,7.0,public,SG,Asia Pacific,SQ
Qantas Airways,2010'Q2,-12.0,public,AU,Asia Pacific,QF
Cathay Pacific,2010'Q2,7.0,public,HK,Asia Pacific,CX
LATAM Airlines,2010'Q2,5.0,public,CL,Latin America,LA
Air China,2010'Q2,31.0,public,CN,China,CA
China Eastern,2010'Q2,41.0,public,CN,China,MU
China Southern,2010'Q2,21.0,public,CN,China,CZ
Hainan Airlines,2010'Q2,29.0,public,CN,China,HU
Aeroflot,2010'Q2,2.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2010'Q3,4.0,public,US,North America,AA
Delta Air Lines,2010'Q3,16.0,public,US,North America,DL
Southwest Airlines,2010'Q3,11.0,public,US,North America,WN
United Airlines,2010'Q3,27.0,public,US,North America,UA
Alaska Air,2010'Q3,8.0,public,US,North America,AS
JetBlue,2010'Q3,10.0,public,US,North America,B6
SkyWest,2010'Q3,-2.0,public,US,North America,OO
Air Canada,2010'Q3,12.0,public,CA,North America,AC
Air France-KLM,2010'Q3,-20.0,public,EU,Europe,AF/KL
Ryanair,2010'Q3,22.0,public,EU,Europe,FR
easyJet,2010'Q3,8.0,public,EU,Europe,U2
Finnair,2010'Q3,-2.0,public,EU,Europe,AY
Singapore Airlines,2010'Q3,17.0,public,SG,Asia Pacific,SQ
Qantas Airways,2010'Q3,-7.0,public,AU,Asia Pacific,QF
Cathay Pacific,2010'Q3,21.0,public,HK,Asia Pacific,CX
LATAM Airlines,2010'Q3,14.0,public,CL,Latin America,LA
Air China,2010'Q3,46.0,public,CN,China,CA
China Eastern,2010'Q3,59.0,public,CN,China,MU
China Southern,2010'Q3,31.0,public,CN,China,CZ
Hainan Airlines,2010'Q3,37.0,public,CN,China,HU
Aeroflot,2010'Q3,16.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2010'Q4,11.0,public,US,North America,AA
Delta Air Lines,2010'Q4,13.0,public,US,North America,DL
Southwest Airlines,2010'Q4,17.0,public,US,North America,WN
United Airlines,2010'Q4,43.0,public,US,North America,UA
Alaska Air,2010'Q4,13.0,public,US,North America,AS
JetBlue,2010'Q4,15.0,public,US,North America,B6
SkyWest,2010'Q4,6.0,public,US,North America,OO
Air Canada,2010'Q4,15.0,public,CA,North America,AC
Air France-KLM,2010'Q4,-30.0,public,EU,Europe,AF/KL
Ryanair,2010'Q4,28.0,public,EU,Europe,FR
easyJet,2010'Q4,10.0,public,EU,Europe,U2
Finnair,2010'Q4,2.0,public,EU,Europe,AY
Singapore Airlines,2010'Q4,27.0,public,SG,Asia Pacific,SQ
Qantas Airways,2010'Q4,-1.0,public,AU,Asia Pacific,QF
