Airline,Date,Revenue,Status,Country,Region,IATA
Alaska Air,2001'Q2,2.0,public,US,North America,AS
JetBlue,2001'Q2,100.0,public,US,North America,B6
SkyWest,2001'Q2,13.0,public,US,North America,OO
Air Canada,2001'Q2,18.0,public,CA,North America,AC
Air France-KLM,2001'Q2,5.0,public,EU,Europe,AF/KL
Ryanair,2001'Q2,24.0,public,EU,Europe,FR
Finnair,2001'Q2,-2.0,public,EU,Europe,AY
Singapore Airlines,2001'Q2,-2.0,public,SG,Asia Pacific,SQ
Qantas Airways,2001'Q2,-6.0,public,AU,Asia Pacific,QF
Cathay Pacific,2001'Q2,4.0,public,HK,Asia Pacific,CX
LATAM Airlines,2001'Q2,7.0,public,CL,Latin America,LA
China Eastern,2001'Q2,5.0,public,CN,China,MU
China Southern,2001'Q2,13.0,public,CN,China,CZ
Hainan Airlines,2001'Q2,34.0,public,CN,China,HU
Aeroflot,2001'Q2,16.0,"taken private 2023, war",RU,Russia,SU
Delta Air Lines,2001'Q3,-11.0,public,US,North America,DL
Southwest Airlines,2001'Q3,4.0,public,US,North America,WN
United Airlines,2001'Q3,-11.0,public,US,North America,UA
JetBlue,2001'Q3,100.0,public,US,North America,B6
SkyWest,2001'Q3,13.0,public,US,North America,OO
Northwest Airlines,2001'Q3,-6.0,merged with Delta 2008,US,North America,NW
Air Canada,2001'Q3,8.0,public,CA,North America,AC
Air France-KLM,2001'Q3,3.0,public,EU,Europe,AF/KL
Ryanair,2001'Q3,25.0,public,EU,Europe,FR
Finnair,2001'Q3,9.0,public,EU,Europe,AY
Singapore Airlines,2001'Q3,-6.0,public,SG,Asia Pacific,SQ
Qantas Airways,2001'Q3,-9.0,public,AU,Asia Pacific,QF
Cathay Pacific,2001'Q3,-4.0,public,HK,Asia Pacific,CX
LATAM Airlines,2001'Q3,4.0,public,CL,Latin America,LA
China Eastern,2001'Q3,6.0,public,CN,China,MU
China Southern,2001'Q3,12.0,public,CN,China,CZ
Hainan Airlines,2001'Q3,37.0,public,CN,China,HU
Aeroflot,2001'Q3,13.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2001'Q4,-4.0,public,US,North America,AA
Delta Air Lines,2001'Q4,-17.0,public,US,North America,DL
Southwest Airlines,2001'Q4,-2.0,public,US,North America,WN
United Airlines,2001'Q4,-17.0,public,US,North America,UA
Alaska Air,2001'Q4,-2.0,public,US,North America,AS
JetBlue,2001'Q4,100.0,public,US,North America,B6
SkyWest,2001'Q4,13.0,public,US,North America,OO
Northwest Airlines,2001'Q4,-12.0,merged with Delta 2008,US,North America,NW
Air Canada,2001'Q4,-2.0,public,CA,North America,AC
Air France-KLM,2001'Q4,1.0,public,EU,Europe,AF/KL
Ryanair,2001'Q4,26.0,public,EU,Europe,FR
Finnair,2001'Q4,19.0,public,EU,Europe,AY
Singapore Airlines,2001'Q4,-10.0,public,SG,Asia Pacific,SQ
Qantas Airways,2001'Q4,-12.0,public,AU,Asia Pacific,QF
Cathay Pacific,2001'Q4,-13.0,public,HK,Asia Pacific,CX
China Eastern,2001'Q4,7.0,public,CN,China,MU
China Southern,2001'Q4,11.0,public,CN,China,CZ
Hainan Airlines,2001'Q4,40.0,public,CN,China,HU
Aeroflot,2001'Q4,11.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2002'Q1,-5.0,public,US,North America,AA
Delta Air Lines,2002'Q1,-13.0,public,US,North America,DL
Southwest Airlines,2002'Q1,-1.0,public,US,North America,WN
United Airlines,2002'Q1,-13.0,public,US,North America,UA
Alaska Air,2002'Q1,-1.0,public,US,North America,AS
JetBlue,2002'Q1,100.0,public,US,North America,B6
SkyWest,2002'Q1,17.0,public,US,North America,OO
Northwest Airlines,2002'Q1,-9.0,merged with Delta 2008,US,North America,NW
Air France-KLM,2002'Q1,7.0,public,EU,Europe,AF/KL
Ryanair,2002'Q1,37.0,public,EU,Europe,FR
Finnair,2002'Q1,19.0,public,EU,Europe,AY
Singapore Airlines,2002'Q1,-3.0,public,SG,Asia Pacific,SQ
Qantas Airways,2002'Q1,-4.0,public,AU,Asia Pacific,QF
Cathay Pacific,2002'Q1,-7.0,public,HK,Asia Pacific,CX
China Eastern,2002'Q1,8.0,public,CN,China,MU
China Southern,2002'Q1,10.0,public,CN,China,CZ
Hainan Airlines,2002'Q1,41.0,public,CN,China,HU
Aeroflot,2002'Q1,8.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2002'Q2,-6.0,public,US,North America,AA
Delta Air Lines,2002'Q2,-9.0,public,US,North America,DL
Southwest Airlines,2002'Q2,-1.0,public,US,North America,WN
United Airlines,2002'Q2,-9.0,public,US,North America,UA
Alaska Air,2002'Q2,1.0,public,US,North America,AS
JetBlue,2002'Q2,100.0,public,US,North America,B6
SkyWest,2002'Q2,21.0,public,US,North America,OO
Northwest Airlines,2002'Q2,-6.0,merged with Delta 2008,US,North America,NW
Air Canada,2002'Q2,1.0,public,CA,North America,AC
Air France-KLM,2002'Q2,14.0,public,EU,Europe,AF/KL
Ryanair,2002'Q2,48.0,public,EU,Europe,FR
Finnair,2002'Q2,19.0,public,EU,Europe,AY
Singapore Airlines,2002'Q2,3.0,public,SG,Asia Pacific,SQ
Qantas Airways,2002'Q2,5.0,public,AU,Asia Pacific,QF
Cathay Pacific,2002'Q2,-2.0,public,HK,Asia Pacific,CX
LATAM Airlines,2002'Q2,1.0,public,CL,Latin America,LA
China Eastern,2002'Q2,8.0,public,CN,China,MU
China Southern,2002'Q2,9.0,public,CN,China,CZ
Hainan Airlines,2002'Q2,43.0,public,CN,China,HU
Aeroflot,2002'Q2,6.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2002'Q3,-7.0,public,US,North America,AA
Delta Air Lines,2002'Q3,-4.0,public,US,North America,DL
Southwest Airlines,2002'Q3,-1.0,public,US,North America,WN
United Airlines,2002'Q3,-6.0,public,US,North America,UA
Alaska Air,2002'Q3,2.0,public,US,North America,AS
JetBlue,2002'Q3,100.0,public,US,North America,B6
SkyWest,2002'Q3,25.0,public,US,North America,OO
Northwest Airlines,2002'Q3,-2.0,merged with Delta 2008,US,North America,NW
Air Canada,2002'Q3,2.0,public,CA,North America,AC
Air France-KLM,2002'Q3,20.0,public,EU,Europe,AF/KL
Ryanair,2002'Q3,58.0,public,EU,Europe,FR
Finnair,2002'Q3,18.0,public,EU,Europe,AY
Singapore Airlines,2002'Q3,10.0,public,SG,Asia Pacific,SQ
Qantas Airways,2002'Q3,14.0,public,AU,Asia Pacific,QF
Cathay Pacific,2002'Q3,3.0,public,HK,Asia Pacific,CX
LATAM Airlines,2002'Q3,1.0,public,CL,Latin America,LA
China Eastern,2002'Q3,9.0,public,CN,China,MU
China Southern,2002'Q3,8.0,public,CN,China,CZ
Hainan Airlines,2002'Q3,44.0,public,CN,China,HU
Aeroflot,2002'Q3,4.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2002'Q4,-8.0,public,US,North America,AA
Southwest Airlines,2002'Q4,-1.0,public,US,North America,WN
United Airlines,2002'Q4,-2.0,public,US,North America,UA
Alaska Air,2002'Q4,3.0,public,US,North America,AS
JetBlue,2002'Q4,98.0,public,US,North America,B6
SkyWest,2002'Q4,29.0,public,US,North America,OO
